Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30
Cash & Equivalents,0.13,0.14,0.19,0.23,0.34,0,0,0
Cash & Cash Equivalents,0.13,0.14,0.19,0.23,0.34,0,0,0
Cash Growth,-62.51%,-,-,-,-,-,-,-
Other Current Assets,0.15,0.28,0.41,0.5,0.45,-,0,0.01
Total Current Assets,0.27,0.42,0.59,0.73,0.79,-,0,0.01
Long-Term Investments,356.86,354.12,352.38,352.06,351.92,-,0,0
Other Long-Term Assets,0,0,0,0.04,0.15,-,0.15,0.03
Total Long-Term Assets,356.86,354.12,352.38,352.1,352.06,-,0.15,0.03
Total Assets,357.14,354.54,352.98,352.83,352.85,0.17,0.15,0.04
Accounts Payable,0.35,0.28,0.26,0.18,0.06,0,0,0
Current Debt,0,0,0,0,0,0.08,0.08,0.03
Other Current Liabilities,0,0,0,0,0,0.07,0.05,0
Total Current Liabilities,0.35,0.28,0.26,0.18,0.06,0.15,0.13,0.03
Other Long-Term Liabilities,14.71,14.79,14.87,15,15.12,0,0,0
Total Long-Term Liabilities,14.71,14.79,14.87,15,15.12,0,0,0
Total Liabilities,15.06,15.08,15.13,15.18,15.18,0.15,0.13,0.03
Total Debt,0,0,0,0,0,0.08,0.08,0.03
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-14.78,-14.66,-14.05,-14.26,-14.23,-0.01,-0.01,-0.01
Shareholders' Equity,-14.78,-14.66,-14.05,-14.25,-14.23,0.01,0.01,0.02
Total Liabilities and Equity,0.27,0.42,1.08,0.93,0.95,0.17,0.15,0.04
Net Cash / Debt,0.13,0.14,0.19,0.23,0.34,-0.08,-0.08,-0.03
Net Cash / Debt Growth,-62.51%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.00,0.02,-0.01,-0.01,-
Working Capital,-0.08,0.14,0.34,0.56,0.73,-,-0.13,-0.02
Book Value Per Share,-0.31,-0.31,-0.29,-0.30,-0.74,0.00,0.00,-
