Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Cash & Equivalents,0.94,1.03,1.05,1.24,0,0,-,-,0,0
Cash & Cash Equivalents,0.94,1.03,1.05,1.24,0,0,0,0,0,0
Cash Growth,148245.64%,20546560.00%,-,-,-,-,-,-,-,-
Other Current Assets,0.22,0.33,0.4,0.33,0,-,-,-,-,-
Total Current Assets,1.16,1.36,1.45,1.56,0,-,-,-,-,-
Long-Term Investments,178.69,176.74,176.06,175.95,0,-,-,-,-,-
Other Long-Term Assets,0,0,0.04,0.23,0.68,-,-,-,-,-
Total Long-Term Assets,178.69,176.74,176.11,176.18,0.68,-,-,-,-,-
Total Assets,179.84,178.1,177.56,177.75,0.68,0.63,-,-,0.38,0.14
Accounts Payable,0.05,0.03,0.06,0.03,0.01,0,-,-,0,0
Current Debt,0,0,0,0,0.44,0.33,-,-,0.3,0.11
Other Current Liabilities,0.97,0.53,0.28,0.32,0.27,0.33,-,-,0.06,0.04
Total Current Liabilities,1.02,0.56,0.35,0.35,0.72,0.66,-,-,0.36,0.15
Other Long-Term Liabilities,6.21,6.21,6.21,6.21,0,0,-,-,0,0
Total Long-Term Liabilities,6.21,6.21,6.21,6.21,0,0,-,-,0,0
Total Liabilities,7.23,6.78,6.56,6.56,0.72,0.66,-,-,0.36,0.15
Total Debt,0,0,0,0,0.44,0.33,-,-,0.3,0.11
Debt Growth,-,-,-,-,48.35%,212.96%,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03,-,-,0.03,0
Retained Earnings,-5.34,-5.13,-4.95,-4.77,-0.07,-0.06,-,-,-0,-0
Shareholders' Equity,-5.34,-5.13,-4.95,-4.77,-0.04,-0.03,-,-,0.02,-0
Total Liabilities and Equity,1.89,1.64,1.61,1.8,0.68,0.63,-,-,0.38,0.14
Net Cash / Debt,0.94,1.03,1.05,1.24,-0.44,-0.33,0,0,-0.3,-0.11
Net Cash Per Share,0.04,0.04,0.04,0.08,-0.08,-0.07,-,-,-0.05,-
Working Capital,0.14,0.79,1.11,1.21,-0.72,-,-,-,-,-
Book Value Per Share,-0.22,-0.21,-0.21,-0.32,-0.01,-0.01,-,-,0.00,-
