Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.98,1.07,1.3,1.43,1.58,1.7,93.85,0
Cash & Cash Equivalents,0.98,1.07,1.3,1.43,1.58,1.7,93.85,0
Cash Growth,-38.39%,-37.18%,-98.62%,71587.65%,-,-,-,-
Other Current Assets,0.07,0.12,0.17,0.15,0.2,0.26,-91.69,0
Total Current Assets,1.05,1.19,1.47,1.58,1.79,1.95,2.16,0
Long-Term Investments,92.39,92.08,92.01,92.01,92.01,92.01,0,0
Other Long-Term Assets,0,0.13,0.05,0.04,0.01,0.01,92.23,0.13
Total Long-Term Assets,92.39,92.21,92.06,92.04,92.02,92.01,92.23,0.13
Total Assets,93.43,93.39,93.53,93.62,93.8,93.97,94.39,0.13
Accounts Payable,0,0,0.02,0,0.03,0.03,0.02,0
Current Debt,0,0,0,0,0,0,0,0.08
Other Current Liabilities,0.06,0.02,0.12,0.03,0.07,0.07,0.09,0.03
Total Current Liabilities,0.06,0.02,0.13,0.03,0.09,0.09,0.1,0.11
Other Long-Term Liabilities,3.81,4.19,5.79,8.24,8.09,10.51,9.38,0
Total Long-Term Liabilities,3.81,4.19,5.79,8.24,8.09,10.51,9.38,0
Total Liabilities,3.87,4.21,5.92,8.27,8.18,10.61,9.48,0.11
Total Debt,0,0,0,0,0,0,0,0.08
Common Stock,0,0,0,0,0,5.1,3.56,0.03
Retained Earnings,-2.82,-2.9,-4.39,-6.64,-6.38,-0.1,1.44,-0.01
Shareholders' Equity,-2.82,-2.9,-4.39,-6.64,-6.38,5,5,0.02
Total Liabilities and Equity,1.05,1.31,1.53,1.62,1.8,15.61,14.48,0.13
Net Cash / Debt,0.98,1.07,1.3,1.43,1.58,1.7,93.85,-0.08
Net Cash / Debt Growth,-38.39%,-37.18%,-98.62%,-,-,-,-,-
Net Cash Per Share,0.08,0.09,0.11,0.12,0.14,0.15,14.68,-0.04
Working Capital,0.99,1.16,1.34,1.55,1.69,1.86,2.05,-0.11
Book Value Per Share,-0.24,-0.25,-0.38,-0.58,-0.55,0.43,0.78,0.01
