Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-09
Cash & Equivalents,1.08,1.39,1.62,1.91,0,0,-,0
Cash & Cash Equivalents,1.08,1.39,1.62,1.91,0,0,0,0
Cash Growth,111970.36%,2241337.10%,-,-,-,-,-,-
Other Current Assets,0.34,0.51,0.54,0.56,0,-,-,-
Total Current Assets,1.42,1.9,2.16,2.47,0,-,-,-
Long-Term Investments,240.11,238.56,237.17,237.03,0,-,-,-
Other Long-Term Assets,0,0.01,0.17,0.34,0.42,-,-,-
Total Long-Term Assets,240.11,238.57,237.34,237.36,0.42,-,-,-
Total Assets,241.53,240.47,239.51,239.84,0.42,0.32,-,0.06
Accounts Payable,0.1,0.21,0.19,0.26,0,0.12,-,0.02
Current Debt,0,0,0,0,0.24,0.17,-,0.01
Other Current Liabilities,0,0,0,0,0.42,0,-,0
Total Current Liabilities,0.1,0.21,0.19,0.26,0.66,0.3,-,0.04
Other Long-Term Liabilities,10.13,12.48,11.5,14.16,0,0,-,0
Total Long-Term Liabilities,10.13,12.48,11.5,14.16,0,0,-,0
Total Liabilities,10.23,12.68,11.69,14.42,0.66,0.3,-,0.04
Total Debt,0,0,0,0,0.24,0.17,-,0.01
Common Stock,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-8.81,-10.77,-9.36,-11.51,-0.27,-0.01,-,-0
Shareholders' Equity,-8.81,-10.77,-9.35,-11.51,-0.24,0.02,-,0.02
Total Liabilities and Equity,1.42,1.91,2.33,2.91,0.42,0.32,-,0.06
Net Cash / Debt,1.08,1.39,1.62,1.91,-0.24,-0.17,0,-0.01
Net Cash Per Share,0.04,0.05,0.06,0.07,-0.05,-0.03,-,-
Working Capital,1.32,1.7,1.97,2.21,-0.66,-,-,-
Book Value Per Share,-0.31,-0.38,-0.33,-0.43,-0.05,0.00,-,-
