Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-14
Cash & Equivalents,0.41,0.78,0.91,0.95,1.08,1.4,1.51,0,0,0
Cash & Cash Equivalents,0.41,0.78,0.91,0.95,1.08,1.4,1.51,0,0,0
Cash Growth,-62.33%,-44.14%,-40.01%,-,4930750.00%,-,-,-,-,-
Other Current Assets,0.15,0.18,0.23,0.27,0.35,0.38,0.45,-,-,-
Total Current Assets,0.56,0.96,1.14,1.23,1.44,1.78,1.96,-,-,-
Long-Term Investments,41.24,51.36,150.59,150.22,150.02,150,150,-,-,-
Total Long-Term Assets,41.24,51.36,150.59,150.22,150.02,150,150,-,-,-
Total Assets,41.8,52.32,151.72,151.45,151.46,151.78,151.97,0.25,0.21,0.03
Accounts Payable,0,10.54,0,0,0,0,0,0,0,0
Current Debt,0,0,0,0,0,0,0,0.08,0.08,0
Other Current Liabilities,1.53,0.82,0.24,0.25,0.2,0.29,0.06,0.15,0.11,0.01
Total Current Liabilities,1.53,11.36,0.24,0.25,0.2,0.29,0.06,0.22,0.18,0.01
Other Long-Term Liabilities,5.56,6.34,5.72,6.11,7.58,9.37,9.53,0,0,0
Total Long-Term Liabilities,5.56,6.34,5.72,6.11,7.58,9.37,9.53,0,0,0
Total Liabilities,7.09,17.7,5.96,6.35,7.78,9.66,9.59,0.22,0.18,0.01
Total Debt,0,0,0,0,0,0,0,0.08,0.08,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-6.38,-6.18,-4.68,-4.91,-6.33,-7.88,-7.62,-0,-0,-0
Shareholders' Equity,-6.38,-6.18,-4.68,-4.91,-6.33,-7.88,-7.62,0.02,0.02,0.02
Total Liabilities and Equity,0.71,11.52,1.28,1.45,1.46,1.78,1.97,0.25,0.21,0.03
Net Cash / Debt,0.41,0.78,0.91,0.95,1.08,1.4,1.51,-0.08,-0.08,0
Net Cash / Debt Growth,-62.33%,-44.14%,-40.01%,-,-,-,-,-,-,-
Net Cash Per Share,0.05,0.04,0.05,0.05,0.06,0.13,0.10,-0.02,-0.02,-
Working Capital,-0.97,-10.4,0.9,0.98,1.23,1.48,1.9,-,-,-
Book Value Per Share,-0.75,-0.32,-0.24,-0.25,-0.33,-0.74,-0.51,0.01,0.01,-
