Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-12
Cash & Equivalents,0,0.07,0.1,0.43,0.59,0.68,0.72,2.45,0
Cash & Cash Equivalents,0,0.07,0.1,0.43,0.59,0.68,0.72,2.45,0
Cash Growth,-99.23%,-90.21%,-86.30%,-82.58%,-,-,-,-,-
Other Current Assets,0.07,0.2,0.33,0.46,0.43,0.45,0.48,0.5,-
Total Current Assets,0.08,0.27,0.43,0.89,1.02,1.13,1.19,2.95,-
Long-Term Investments,290.66,288.24,286.95,286.56,286.53,286.53,286.52,286.51,-
Other Long-Term Assets,0,0,0,0,0.08,0.19,0.3,0.4,-
Total Long-Term Assets,290.66,288.24,286.95,286.56,286.61,286.72,286.82,286.92,-
Total Assets,290.74,288.51,287.38,287.45,287.63,287.85,288.01,289.86,0.09
Accounts Payable,3.89,2.71,1.19,1.14,0.34,0.09,0.01,0.08,0
Other Current Liabilities,0,0,0,0,0,0,0.02,1.51,0.08
Total Current Liabilities,3.89,2.71,1.19,1.14,0.34,0.09,0.03,1.6,0.08
Other Long-Term Liabilities,10.63,10.63,11.59,16.19,21.91,20.55,24.31,29.46,0
Total Long-Term Liabilities,10.63,10.63,11.59,16.19,21.91,20.55,24.31,29.46,0
Total Liabilities,14.52,13.34,12.78,17.33,22.25,20.64,24.34,31.06,0.08
Common Stock,0,0,0,0,0,0,1.22,6.09,0.03
Retained Earnings,-14.44,-13.07,-12.35,-16.44,-21.15,-19.32,3.78,-1.09,-0.01
Shareholders' Equity,-14.44,-13.07,-12.34,-16.44,-21.15,-19.32,5,5,0.02
Total Liabilities and Equity,0.08,0.27,0.43,0.89,1.1,1.32,29.34,36.06,0.09
Net Cash / Debt,0,0.07,0.1,0.43,0.59,0.68,0.72,2.45,0
Net Cash / Debt Growth,-99.23%,-90.21%,-86.30%,-82.58%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.22,-
Working Capital,-3.81,-2.44,-0.76,-0.25,0.68,1.05,1.17,1.35,-
Book Value Per Share,-0.40,-0.36,-0.34,-0.46,-0.71,-0.54,0.14,0.45,0.00
