Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30
Cash & Equivalents,0.41,0.47,0.55,0.01
Cash & Cash Equivalents,0.41,0.47,0.55,0.01
Other Current Assets,0.29,0.29,0.3,-
Total Current Assets,0.7,0.75,0.85,-
Long-Term Investments,104.41,103.73,102.86,-
Other Long-Term Assets,0,0.02,0.09,-
Total Long-Term Assets,104.41,103.75,102.95,-
Total Assets,105.11,104.5,103.81,0.26
Accounts Payable,0.76,0.31,0.26,0
Current Debt,0,0,0,0.11
Other Current Liabilities,0.44,0.21,0.03,0.12
Total Current Liabilities,1.2,0.52,0.29,0.24
Other Long-Term Liabilities,3.5,3.5,3.5,0
Total Long-Term Liabilities,3.5,3.5,3.5,0
Total Liabilities,4.71,4.02,3.79,0.24
Total Debt,0,0,0,0.11
Common Stock,0,0,0,0.03
Retained Earnings,-3.73,-2.84,-2.66,-0
Shareholders' Equity,-3.73,-2.84,-2.66,0.02
Total Liabilities and Equity,0.98,1.18,1.13,0.26
Net Cash / Debt,0.41,0.47,0.55,-0.1
Net Cash Per Share,0.03,0.07,0.06,-0.04
Working Capital,-0.5,0.24,0.56,-
Book Value Per Share,-0.28,-0.44,-0.31,0.01
