Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
Cash & Equivalents,0.05,0.05,0.07,0.25,0.39,0.02,-,0.03
Cash & Cash Equivalents,0.05,0.05,0.07,0.25,0.39,0.02,0,0.03
Cash Growth,-86.32%,115.78%,-,899.42%,-,-,-,-
Other Current Assets,0.1,0.2,0.33,0.45,0.48,0,-,0
Total Current Assets,0.16,0.25,0.4,0.7,0.87,0.02,-,0.03
Long-Term Investments,236.94,235,233.76,233.47,233.45,0,-,0
Other Long-Term Assets,0,0,0,0,0.04,0.67,-,0.12
Total Long-Term Assets,236.94,235,233.76,233.47,233.49,0.67,-,0.12
Total Assets,237.1,235.25,234.16,234.18,234.36,0.7,-,0.15
Accounts Payable,0.25,0.32,0.23,0.15,0.09,0.51,-,0
Current Debt,0.74,0.2,0,0,0,0.16,-,0
Other Current Liabilities,1.12,0.56,0.28,0.21,0.17,0.01,-,0.12
Total Current Liabilities,2.12,1.08,0.51,0.36,0.26,0.68,-,0.13
Other Long-Term Liabilities,0.32,0.03,11.28,14.95,20.98,0,-,0
Total Long-Term Liabilities,0.32,0.03,11.28,14.95,20.98,0,-,0
Total Liabilities,2.44,1.11,11.79,15.31,21.24,0.68,-,0.13
Total Debt,0.74,0.2,0,0,0,0.16,-,0
Debt Growth,-,23.30%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-1.26,-0.32,-11.16,-14.58,-20.33,-0.01,-,-0
Shareholders' Equity,-1.26,-0.32,-11.16,-14.58,-20.33,0.01,-,0.02
Total Liabilities and Equity,1.18,0.79,0.63,0.73,0.91,0.7,-,0.15
Net Cash / Debt,-0.69,-0.15,0.07,0.25,0.39,-0.14,0,0.03
Net Cash / Debt Growth,-,-,-,899.42%,-,-,-,-
Net Cash Per Share,-0.02,-0.01,0.00,0.01,0.04,-0.03,-,-
Working Capital,-1.96,-0.83,-0.11,0.34,0.61,-0.66,-,-0.1
Book Value Per Share,-0.04,-0.01,-0.39,-0.51,-2.31,0.00,-,-
