Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-11-02
Cash & Equivalents,0.32,0.8,1.19,1.57,0.02,0.1
Cash & Cash Equivalents,0.32,0.8,1.19,1.57,0.02,0.1
Cash Growth,1355.45%,695.09%,-,-,-,-
Other Current Assets,0.26,0.33,0.43,0.45,0,0
Total Current Assets,0.58,1.13,1.62,2.02,0.02,0.1
Long-Term Investments,297.57,295.05,293.59,293.14,0,0
Other Long-Term Assets,0,0,0.02,0.12,0.25,0
Total Long-Term Assets,297.57,295.05,293.6,293.26,0.25,0
Total Assets,298.15,296.18,295.23,295.28,0.28,0.1
Accounts Payable,0.24,0.12,0.12,0.23,0.05,0
Current Debt,0,0,0,0,0.15,0.08
Other Current Liabilities,15.35,0.15,0.1,0.05,0.09,0
Total Current Liabilities,15.59,0.27,0.22,0.28,0.28,0.08
Other Long-Term Liabilities,0.56,15.13,15.13,15.13,0,0
Total Long-Term Liabilities,0.56,15.13,15.13,15.13,0,0
Total Liabilities,16.15,15.39,15.34,15.4,0.28,0.08
Total Debt,0,0,0,0,0.15,0.08
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-11.25,-12.46,-13.37,-13.38,-0.03,-0
Shareholders' Equity,-11.25,-12.46,-13.37,-13.38,-0.01,0.02
Total Liabilities and Equity,4.9,2.93,1.98,2.03,0.28,0.1
Net Cash / Debt,0.32,0.8,1.19,1.57,-0.12,0.03
Net Cash / Debt Growth,-,3080.38%,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.05,-0.02,0.00
Working Capital,-15.01,0.86,1.41,1.74,-0.26,0.02
Book Value Per Share,-0.27,-0.34,-0.37,-0.44,-0.00,0.00
