Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-11
Cash & Equivalents,0.13,0.21,0.31,0.43,0.65,0.01,0.01,0
Cash & Cash Equivalents,0.13,0.21,0.31,0.43,0.65,0.01,0.01,0
Cash Growth,-80.15%,2068.00%,2977.68%,-,-,-,-,-
Other Current Assets,1.08,0.33,0.35,0.37,0.32,0,0,0.01
Total Current Assets,1.21,0.54,0.65,0.8,0.97,0.01,0.01,0.01
Long-Term Investments,257.73,255.92,255.12,255.01,255,0,0,0
Other Long-Term Assets,0,0.02,0.09,0.17,0.25,0.21,0.17,0.02
Total Long-Term Assets,257.73,255.94,255.22,255.18,255.25,0.21,0.17,0.02
Total Assets,258.93,256.48,255.87,255.98,256.22,0.22,0.18,0.03
Accounts Payable,0.52,0.19,0.21,0.14,0.07,0.06,0.02,0
Current Debt,0,0,0,0,0,0.09,0.09,0
Other Current Liabilities,13.75,0,0,0,0,0.12,0.09,0.01
Total Current Liabilities,14.27,0.19,0.21,0.14,0.07,0.27,0.19,0.01
Other Long-Term Liabilities,0,13.88,14.01,16.24,19.51,0,0,0
Total Long-Term Liabilities,0,13.88,14.01,16.24,19.51,0,0,0
Total Liabilities,14.27,14.07,14.23,16.38,19.58,0.27,0.19,0.01
Total Debt,0,0,0,0,0,0.09,0.09,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-13.9,-13.51,-13.36,-15.4,-18.36,-0.08,-0.03,-0.01
Shareholders' Equity,-13.89,-13.51,-13.36,-15.4,-18.35,-0.05,-0.01,0.02
Total Liabilities and Equity,0.38,0.56,0.87,0.98,1.22,0.22,0.18,0.03
Net Cash / Debt,0.13,0.21,0.31,0.43,0.65,-0.08,-0.08,0
Net Cash / Debt Growth,-80.15%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.05,-0.01,-0.02,-
Working Capital,-13.07,0.35,0.44,0.65,0.9,-0.26,-0.18,-0
Book Value Per Share,-0.42,-0.47,-0.47,-0.54,-1.44,-0.01,-0.00,-
