Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.21,0.25,0.58,1.11,1.85,0.01,-,0
Cash & Cash Equivalents,0.21,0.25,0.58,1.11,1.85,0.01,0,0
Cash Growth,-88.83%,1783.80%,-,-,-,-,-,-
Receivables,0,0,0,0,0,0,-,0.03
Other Current Assets,0.39,0.4,0.32,0.42,0.4,-,-,-
Total Current Assets,0.6,0.65,0.9,1.53,2.24,-,-,-
Long-Term Investments,118.19,117.42,116.89,116.74,116.73,-,-,-
Other Long-Term Assets,0.04,0.1,0.2,0.29,0.38,-,-,-
Total Long-Term Assets,118.23,117.52,117.09,117.03,117.1,-,-,-
Total Assets,118.83,118.17,117.99,118.56,119.34,0.37,-,0.08
Accounts Payable,0.06,0.02,0.01,0.08,0.17,0,-,0
Current Debt,0,0,0,0,0,0.28,-,0.03
Other Current Liabilities,0.49,0.31,0.29,0.36,0.76,0.08,-,0.03
Total Current Liabilities,0.55,0.33,0.3,0.44,0.93,0.36,-,0.05
Other Long-Term Liabilities,3.45,3.45,3.45,3.45,3.45,0,-,0
Total Long-Term Liabilities,3.45,3.45,3.45,3.45,3.45,0,-,0
Total Liabilities,4,3.78,3.75,3.89,4.38,0.36,-,0.05
Total Debt,0,0,0,0,0,0.28,-,0.03
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-2.97,-2.72,-2.67,-2.05,-1.77,-0.01,-,-0
Shareholders' Equity,-2.97,-2.72,-2.66,-2.05,-1.76,0.02,-,0.02
Total Liabilities and Equity,1.03,1.06,1.09,1.83,2.62,0.37,-,0.08
Net Cash / Debt,0.21,0.25,0.58,1.11,1.85,-0.27,0,-0.03
Net Cash / Debt Growth,-88.83%,-,-,-,-,-,-,-
Net Cash Per Share,0.07,0.09,0.20,0.39,-,-0.11,-,-
Working Capital,0.05,0.32,0.59,1.09,1.31,-,-,-
Book Value Per Share,-1.03,-0.95,-0.93,-0.71,-0.70,0.01,-,-
