Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.34,0.03,0.26,0.4,0.84,1.13,0.16,0.02
Cash & Cash Equivalents,1.34,0.03,0.26,0.4,0.84,1.13,0.16,0.02
Cash Growth,59.59%,-97.55%,65.21%,2468.78%,-,-,-,-
Other Current Assets,0.17,0.25,0.34,0.43,0.47,0.56,0,-
Total Current Assets,1.51,0.28,0.6,0.82,1.31,1.69,0.16,-
Long-Term Investments,22.47,183.45,182.55,182.32,182.25,182.22,0,-
Other Long-Term Assets,0,0,0,0,0,0,0.52,-
Total Long-Term Assets,22.47,183.45,182.55,182.32,182.25,182.22,0.52,-
Total Assets,23.98,183.73,183.15,183.14,183.56,183.91,0.68,0.36
Accounts Payable,0.06,0.02,0.01,0.02,0.12,0.11,0.01,0.01
Current Debt,0.96,0,0,0,0,0,0.3,0.06
Other Current Liabilities,9.71,0.05,0.1,0.05,0.17,0.12,0.4,0.28
Total Current Liabilities,10.73,0.06,0.11,0.07,0.28,0.23,0.71,0.35
Other Long-Term Liabilities,7.17,7.34,9.38,11.94,13.81,15.34,0,0
Total Long-Term Liabilities,7.17,7.34,9.38,11.94,13.81,15.34,0,0
Total Liabilities,17.9,7.4,9.49,12.01,14.09,15.57,0.71,0.35
Total Debt,0.96,0,0,0,0,0,0.3,0.06
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.25,-7.12,-8.89,-11.19,-12.79,-13.88,-0.05,-0.01
Shareholders' Equity,-7.25,-7.12,-8.89,-11.19,-12.79,-13.88,-0.03,0.01
Total Liabilities and Equity,10.65,0.28,0.6,0.82,1.31,1.69,0.68,0.36
Net Cash / Debt,0.38,0.03,0.26,0.4,0.84,1.13,-0.14,-0.04
Net Cash / Debt Growth,-54.42%,-97.55%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.00,0.01,0.02,0.06,0.07,-0.03,-0.01
Working Capital,-9.22,0.22,0.49,0.75,1.02,1.46,-0.55,-
Book Value Per Share,-0.35,-0.32,-0.39,-0.50,-0.95,-0.84,-0.01,0.00
