Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.64,0.73,1.26,1.44,1.72,1.89,2.01,0
Cash & Cash Equivalents,0.64,0.73,1.26,1.44,1.72,1.89,2.01,0
Cash Growth,-63.13%,-61.57%,-37.37%,-,-,-,-,-
Other Current Assets,0.24,0.42,0.54,0.66,0.81,0.95,1.11,-
Total Current Assets,0.88,1.15,1.8,2.1,2.54,2.85,3.12,-
Long-Term Investments,173.49,172.73,171.82,171.7,171.66,171.64,171.62,-
Other Long-Term Assets,0,0,0.02,0,0,0,0,-
Total Long-Term Assets,173.49,172.73,171.84,171.7,171.66,171.64,171.62,-
Total Assets,174.37,173.88,173.64,173.8,174.19,174.48,174.74,0.28
Accounts Payable,0.18,0.25,0.13,0.08,0.05,0.03,0.02,0.02
Current Debt,0,0,0,0,0,0,0,0.06
Other Current Liabilities,2.67,2.53,2.73,2.12,1.84,0.76,0.25,0.21
Total Current Liabilities,2.85,2.77,2.86,2.19,1.89,0.8,0.27,0.29
Other Long-Term Liabilities,2.53,2.81,3.38,8.89,11.58,11.63,17.1,0
Total Long-Term Liabilities,2.53,2.81,3.38,8.89,11.58,11.63,17.1,0
Total Liabilities,5.37,5.58,6.23,11.08,13.47,12.42,17.37,0.29
Total Debt,0,0,0,0,0,0,0,0.06
Common Stock,0,0,0,0,0,0,9.35,0.03
Retained Earnings,-4.17,-3.91,-4.21,-8.89,-10.9,-9.56,-4.35,-0.04
Shareholders' Equity,-4.17,-3.91,-4.21,-8.89,-10.89,-9.56,5,-0.01
Total Liabilities and Equity,1.2,1.68,2.02,2.19,2.58,2.87,22.37,0.28
Net Cash / Debt,0.64,0.73,1.26,1.44,1.72,1.89,2.01,-0.06
Net Cash / Debt Growth,-63.13%,-61.57%,-37.37%,-,-,-,-,-
Net Cash Per Share,0.03,0.03,0.06,0.07,0.11,0.09,0.19,-0.02
Working Capital,-1.97,-1.63,-1.06,-0.09,0.64,2.05,2.85,-
Book Value Per Share,-0.19,-0.18,-0.20,-0.41,-0.72,-0.45,0.47,-0.00
