Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-19
Cash & Equivalents,0.38,0.47,0.51,0.58,0.78,0,0,0
Cash & Cash Equivalents,0.38,0.47,0.51,0.58,0.78,0,0,0
Cash Growth,-51.71%,-,-,-,-,-,-,-
Other Current Assets,0.4,0.49,0.51,0.52,0.47,-,-,-
Total Current Assets,0.78,0.96,1.02,1.11,1.26,-,-,-
Long-Term Investments,273.54,271.23,269.92,269.82,269.79,-,-,-
Other Long-Term Assets,0,0.04,0.16,0.27,0.39,-,-,-
Total Long-Term Assets,273.54,271.27,270.08,270.09,270.18,-,-,-
Total Assets,274.32,272.22,271.1,271.2,271.44,0.5,0.3,0.11
Current Debt,0,0,0,0,0,0.04,0,0
Other Current Liabilities,1.42,0.44,0.39,0.39,0.59,0.44,0.27,0.09
Total Current Liabilities,1.42,0.44,0.39,0.39,0.59,0.48,0.27,0.09
Other Long-Term Liabilities,11.27,11.27,11.27,11.27,11.27,0,0,0
Total Long-Term Liabilities,11.27,11.27,11.27,11.27,11.27,0,0,0
Total Liabilities,12.69,11.71,11.66,11.66,11.86,0.48,0.27,0.09
Total Debt,0,0,0,0,0,0.04,0,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-11.91,-10.72,-10.48,-10.26,-10.21,-0,-0,-0
Shareholders' Equity,-11.91,-10.72,-10.48,-10.26,-10.21,0.02,0.02,0.02
Total Liabilities and Equity,0.78,0.99,1.18,1.41,1.65,0.5,0.3,0.11
Net Cash / Debt,0.38,0.47,0.51,0.58,0.78,-0.04,0,0
Net Cash / Debt Growth,-51.71%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.02,0.07,-0.01,-,-
Working Capital,-0.64,0.52,0.63,0.71,0.67,-,-,-
Book Value Per Share,-0.36,-0.32,-0.32,-0.31,-0.96,0.00,0.00,-
