Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-21
Cash & Equivalents,0,0.64,0.76,0.89,1.15,0.03,0.05,-,0.18
Cash & Cash Equivalents,0,0.64,0.76,0.89,1.15,0.03,0.05,0,0.18
Cash Growth,-,1804.23%,1328.79%,-,557.72%,-,-,-,-
Receivables,0.23,0,0,0,0,0,0,-,0
Other Current Assets,0.57,0.62,0.63,0.66,0.63,0,0,-,0
Total Current Assets,0.8,1.26,1.39,1.55,1.78,0.04,0.05,-,0.18
Long-Term Investments,240.56,238.04,236.06,234.96,234.63,0,0,-,0
Other Long-Term Assets,0,0.07,0.21,0.36,0.5,0.4,0.32,-,0.11
Total Long-Term Assets,240.56,238.1,236.27,235.32,235.14,0.4,0.32,-,0.11
Total Assets,241.36,239.36,237.66,236.87,236.92,0.43,0.37,-,0.29
Accounts Payable,2.55,0.24,0.04,0.03,0.09,0.03,0.09,-,0.01
Current Debt,0,0,0,0,0,0.25,0.15,-,0.15
Other Current Liabilities,0.57,1.09,0,0,0.02,0.17,0.15,-,0.14
Total Current Liabilities,3.12,1.33,0.04,0.03,0.1,0.45,0.38,-,0.3
Other Long-Term Liabilities,10.45,9.49,9.49,11.64,15.28,0,0,-,0
Total Long-Term Liabilities,10.45,9.49,9.49,11.64,15.28,0,0,-,0
Total Liabilities,13.57,10.82,9.52,11.68,15.38,0.45,0.38,-,0.3
Total Debt,0,0,0,0,0,0.25,0.15,-,0.15
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-12.67,-9.4,-7.82,-9.66,-13.06,-0.04,-0.04,-,-0.04
Shareholders' Equity,-12.67,-9.4,-7.82,-9.66,-13.06,-0.01,-0.01,-,-0.01
Total Liabilities and Equity,0.9,1.42,1.7,2.01,2.32,0.43,0.37,-,0.29
Net Cash / Debt,0,0.64,0.76,0.89,1.15,-0.22,-0.1,0,0.03
Net Cash / Debt Growth,-,-,-,-,4504.04%,-,-,-,-
Net Cash Per Share,-,0.02,0.02,0.03,0.06,-0.03,-0.01,-,-
Working Capital,-2.32,-0.07,1.35,1.52,1.68,-0.41,-0.33,-,-0.12
Book Value Per Share,-0.41,-0.31,-0.26,-0.32,-0.70,-0.00,-0.00,-,-
