Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-07
Cash & Equivalents,0.11,0.44,0.53,0.64,0.7,1.76,0,0
Cash & Cash Equivalents,0.11,0.44,0.53,0.64,0.7,1.76,0,0
Cash Growth,-84.29%,-75.18%,-,-,-,-,-,-
Other Current Assets,0.3,0.37,0.5,0.51,0.59,0.02,0.03,0.04
Total Current Assets,0.41,0.8,1.04,1.15,1.29,1.78,0.03,0.04
Long-Term Investments,121.41,118.99,117.78,117.47,117.31,117.3,0,0
Other Long-Term Assets,0,0,0,0.09,0.2,0,0.21,0.03
Total Long-Term Assets,121.41,118.99,117.78,117.56,117.52,117.3,0.21,0.03
Total Assets,121.82,119.79,118.82,118.71,118.81,119.08,0.23,0.07
Accounts Payable,0.23,0.08,0.05,0.03,0,0.05,0,0
Current Debt,1.15,0,0,0,0,0,0.1,0.05
Other Current Liabilities,0.77,0.21,0.08,0.1,0.1,0.09,0.11,0
Total Current Liabilities,2.15,0.29,0.13,0.13,0.1,0.14,0.21,0.05
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Liabilities,6.17,4.32,4.15,4.15,4.13,4.17,0.21,0.05
Total Debt,1.15,0,0,0,0,0,0.1,0.05
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.76,-3.52,-3.12,-2.91,-2.63,-2.39,-0,-0
Shareholders' Equity,-5.76,-3.52,-3.12,-2.91,-2.63,-2.39,0.02,0.02
Total Liabilities and Equity,0.41,0.8,1.04,1.24,1.49,1.78,0.23,0.07
Net Cash / Debt,-1.04,0.44,0.53,0.64,0.7,1.76,-0.1,-0.05
Net Cash / Debt Growth,-,-75.18%,-,-,-,-,-,-
Net Cash Per Share,-0.07,0.03,0.04,0.04,0.05,0.24,-0.04,-
Working Capital,-1.73,0.51,0.91,1.03,1.19,1.63,-0.19,-0.01
Book Value Per Share,-0.40,-0.24,-0.22,-0.20,-0.18,-0.33,0.01,-
