Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.08,0.05,0.33,0.61,0.04,0,-,-,0.03
Cash & Cash Equivalents,0.08,0.05,0.33,0.61,0.04,0,0,0,0.03
Cash Growth,95.16%,58285.56%,-,-,54.97%,-,-,-,-
Other Current Assets,0.08,0.2,0.33,0.45,0.3,-,-,-,-
Total Current Assets,0.16,0.26,0.66,1.06,0.34,-,-,-,-
Long-Term Investments,89.24,88.5,88.1,87.98,0,-,-,-,-
Total Long-Term Assets,89.24,88.5,88.1,87.98,0,-,-,-,-
Total Assets,89.4,88.75,88.76,89.04,0.34,0.18,-,-,0.1
Accounts Payable,0.4,0.24,0.23,0.16,0.14,0.06,-,-,0.08
Current Debt,0.13,0,0,0,0.09,0,-,-,0
Other Current Liabilities,0.42,0.15,0.1,0,0,0.09,-,-,0
Total Current Liabilities,0.95,0.39,0.33,0.16,0.22,0.15,-,-,0.08
Other Long-Term Liabilities,2.59,2.59,2.59,2.59,0,0,-,-,0
Total Long-Term Liabilities,2.59,2.59,2.59,2.59,0,0,-,-,0
Total Liabilities,3.53,2.98,2.92,2.75,0.22,0.15,-,-,0.08
Total Debt,0.13,0,0,0,0.09,0,-,-,0
Debt Growth,46.26%,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0.13,0.03,-,-,0.03
Retained Earnings,-3.18,-2.57,-2.14,-1.68,-0.01,-0,-,-,0
Shareholders' Equity,-3.18,-2.57,-2.14,-1.68,0.11,0.02,-,-,0.03
Total Liabilities and Equity,0.36,0.41,0.78,1.07,0.34,0.18,-,-,0.1
Net Cash / Debt,-0.05,0.05,0.33,0.61,-0.05,0,0,0,0.03
Net Cash / Debt Growth,-,58285.56%,-,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.03,0.09,-0.02,0.00,-,-,-
Working Capital,-0.79,-0.13,0.32,0.9,0.11,-,-,-,-
Book Value Per Share,-0.27,-0.22,-0.18,-0.24,0.04,0.01,-,-,-
