Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.42,0.52,0.72,0.81,1.53,0
Cash & Cash Equivalents,0.42,0.52,0.72,0.81,1.53,0
Cash Growth,-72.56%,-,-,-,-,-
Receivables,0,0,0,0,0.03,0
Other Current Assets,0.29,0.29,0.29,0.31,0.3,0.03
Total Current Assets,0.71,0.81,1.02,1.12,1.86,0.03
Long-Term Investments,259.98,257.82,256.66,256.31,256.29,0
Other Long-Term Assets,0,0.06,0.15,0.23,0.29,0.02
Total Long-Term Assets,259.98,257.88,256.81,256.54,256.58,0.02
Total Assets,260.69,258.69,257.83,257.66,258.44,0.05
Accounts Payable,0.52,0.26,0.25,0.16,0.64,0
Other Current Liabilities,0.99,0.48,0.21,0.12,0.07,0.02
Total Current Liabilities,1.51,0.74,0.46,0.27,0.71,0.02
Other Long-Term Liabilities,8.96,8.96,8.96,8.96,8.96,0
Total Long-Term Liabilities,8.96,8.96,8.96,8.96,8.96,0
Total Liabilities,10.46,9.69,9.41,9.23,9.66,0.02
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-8.77,-8.35,-7.88,-7.86,-7.51,-0
Shareholders' Equity,-8.77,-8.34,-7.88,-7.86,-7.51,0.02
Total Liabilities and Equity,1.69,1.35,1.54,1.37,2.15,0.05
Net Cash / Debt,0.42,0.52,0.72,0.81,1.53,0
Net Cash / Debt Growth,-72.56%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.02,0.14,-
Working Capital,-0.8,0.07,0.56,0.85,1.15,0
Book Value Per Share,-0.25,-0.24,-0.22,-0.22,-0.69,0.00
