Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-12
Cash & Equivalents,0.06,0.1,0,0.05,0.16,0,-,0
Cash & Cash Equivalents,0.06,0.1,0,0.05,0.16,0,0,0
Cash Growth,-60.97%,-,-,-,-,-,-,-
Other Current Assets,0.28,0.37,0.47,0.58,0.62,0,-,0.02
Total Current Assets,0.35,0.47,0.47,0.63,0.77,0,-,0.02
Long-Term Investments,279.36,277,275.84,275.96,275.97,0,-,0
Other Long-Term Assets,0,0,0,0,0,0.66,-,0.14
Total Long-Term Assets,279.36,277,275.84,275.96,275.97,0.66,-,0.14
Total Assets,279.7,277.47,276.32,276.59,276.75,0.66,-,0.16
Accounts Payable,0.25,0.07,0.22,0.09,0.01,0.04,-,0
Current Debt,0,0.3,0,0,0,0.16,-,0
Other Current Liabilities,0.01,0.12,0.09,0.17,0.09,0.49,-,0.14
Total Current Liabilities,0.26,0.49,0.31,0.26,0.1,0.69,-,0.14
Long-Term Debt,0.3,0,0,0,0,0,-,0
Other Long-Term Liabilities,9.66,9.66,9.66,9.66,9.66,0,-,0
Total Long-Term Liabilities,9.96,9.66,9.66,9.66,9.66,0,-,0
Total Liabilities,10.22,10.15,9.97,9.92,9.76,0.69,-,0.14
Total Debt,0.3,0.3,0,0,0,0.16,-,0
Debt Growth,-,85.47%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-9.77,-9.58,-9.65,-9.34,-9.02,-0.05,-,-0.01
Shareholders' Equity,-9.77,-9.58,-9.65,-9.34,-9.02,-0.03,-,0.02
Total Liabilities and Equity,0.45,0.57,0.32,0.59,0.75,0.66,-,0.16
Net Cash / Debt,-0.24,-0.2,0,0.05,0.16,-0.16,0,0
Net Cash Per Share,-0.01,-0.01,0.00,0.00,0.02,-0.03,-,-
Working Capital,0.09,-0.02,0.17,0.37,0.67,-0.69,-,-0.12
Book Value Per Share,-0.28,-0.28,-0.28,-0.27,-0.95,-0.01,-,-
