Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.4,0.54,0.59,0.85,0.95,1.02,1.08,1.45,0.03
Cash & Cash Equivalents,0.4,0.54,0.59,0.85,0.95,1.02,1.08,1.45,0.03
Cash Growth,-57.71%,-46.85%,-45.07%,-41.19%,3711.00%,-,-,-,-
Other Current Assets,0.06,0.1,0.16,0.21,0.22,0.28,0.33,0.38,0
Total Current Assets,0.47,0.64,0.75,1.07,1.17,1.31,1.4,1.83,0.03
Long-Term Investments,252.97,250.82,250.33,249.95,250.01,250.01,250,250,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.22
Total Long-Term Assets,252.97,250.82,250.33,249.95,250.01,250.01,250,250,0.22
Total Assets,253.44,251.45,251.08,251.02,251.19,251.31,251.4,251.83,0.25
Current Debt,0,0,0,0,0,0,0,0,0.05
Other Current Liabilities,0.58,0.62,0.66,0.76,0.53,0.62,0.68,0.43,0.17
Total Current Liabilities,0.58,0.62,0.66,0.76,0.53,0.62,0.68,0.43,0.22
Other Long-Term Liabilities,9.41,9.79,9.92,11.35,16.42,16.99,19.63,28.24,0
Total Long-Term Liabilities,9.41,9.79,9.92,11.35,16.42,16.99,19.63,28.24,0
Total Liabilities,9.99,10.41,10.58,12.11,16.95,17.6,20.32,28.67,0.22
Total Debt,0,0,0,0,0,0,0,0,0.05
Common Stock,0,0,0,0,0,0,0,0,0.03
Retained Earnings,-8.86,-9.63,-9.57,-11.09,-15.76,-16.29,-18.91,-26.84,-0
Shareholders' Equity,-8.86,-9.63,-9.57,-11.09,-15.76,-16.29,-18.91,-26.84,0.02
Total Liabilities and Equity,1.13,0.79,1.01,1.02,1.19,1.31,1.4,1.83,0.25
Net Cash / Debt,0.4,0.54,0.59,0.85,0.95,1.02,1.08,1.45,-0.02
Net Cash / Debt Growth,-57.71%,-46.85%,-45.07%,-41.19%,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.14,-0.00
Working Capital,-0.11,0.02,0.09,0.31,0.64,0.69,0.72,1.4,-0.2
Book Value Per Share,-0.28,-0.31,-0.31,-0.35,-0.52,-0.52,-0.60,-2.58,0.00
