Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-22
Cash & Equivalents,0.12,0.2,0.06,0.08,0.24,0.37,0.4,0.03,0.03
Short-Term Investments,34.74,34.08,57.8,57.58,57.51,57.5,57.5,0,0
Cash & Cash Equivalents,34.86,34.28,57.86,57.66,57.74,57.87,57.9,0.03,0.03
Cash Growth,-39.63%,-40.77%,-0.08%,230547.26%,230869.15%,-,-,-,-
Other Current Assets,0.06,0.01,0.04,0.05,0.06,0.05,0.09,0,0
Total Current Assets,34.91,34.29,57.9,57.71,57.8,57.92,58,0.03,0.03
Other Long-Term Assets,0,0,0,0,0,0,0,0.21,0.17
Total Long-Term Assets,0,0,0,0,0,0,0,0.21,0.17
Total Assets,34.91,34.29,57.9,57.71,57.8,57.92,58,0.23,0.19
Accounts Payable,0,0,0,0.18,0.1,0,0,0,0
Current Debt,1.09,0.68,0.1,0,0,0,0,0.18,0.14
Other Current Liabilities,2.54,2.44,2.25,2.01,2.01,2.11,2.04,0.03,0.03
Total Current Liabilities,3.63,3.12,2.35,2.19,2.12,2.11,2.04,0.21,0.17
Other Long-Term Liabilities,34.69,34.07,57.68,0,0,57.5,0,0,0
Total Long-Term Liabilities,34.69,34.07,57.68,0,0,57.5,0,0,0
Total Liabilities,38.32,37.18,60.03,2.19,2.12,59.61,2.04,0.21,0.17
Total Debt,1.09,0.68,0.1,0,0,0,0,0.18,0.14
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-3.41,-2.9,-2.14,-1.98,-1.82,-1.7,-1.54,-0,-0
Shareholders' Equity,-3.41,-2.9,-2.14,-1.98,-1.82,-1.69,-1.54,0.02,0.02
Total Liabilities and Equity,34.91,34.29,57.9,0.21,0.3,57.92,0.5,0.23,0.19
Net Cash / Debt,33.77,33.6,57.76,57.66,57.74,57.87,57.9,-0.16,-0.12
Net Cash / Debt Growth,-41.52%,-41.94%,-0.26%,-,-,-,-,-,-
Net Cash Per Share,6.59,4.77,7.64,7.63,7.64,11.54,7.85,-0.13,-0.09
Working Capital,31.28,31.17,55.54,55.52,55.68,55.81,55.96,-0.18,-0.14
Book Value Per Share,-0.67,-0.41,-0.28,-0.26,-0.24,-0.34,-0.21,0.02,0.02
