Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-06
Cash & Equivalents,0.11,0.21,0.16,0.02,0.21,0.34,0.24,0.65,1.51,0.05,0.03
Cash & Cash Equivalents,0.11,0.21,0.16,0.02,0.21,0.34,0.24,0.65,1.51,0.05,0.03
Cash Growth,-47.39%,-39.56%,-32.50%,-96.46%,-86.26%,617.63%,863.26%,-,-,-,-
Other Current Assets,0.09,0.1,0.22,0.34,0.36,0.47,0.55,0.65,0.02,-,-
Total Current Assets,0.2,0.31,0.38,0.36,0.56,0.82,0.79,1.3,1.53,-,-
Long-Term Investments,505.01,501.93,500.21,500.17,500.03,500.11,500.05,500.07,499.98,-,-
Total Long-Term Assets,505.01,501.93,500.21,500.17,500.03,500.11,500.05,500.07,499.98,-,-
Total Assets,505.21,502.24,500.6,500.53,500.59,500.93,500.85,501.37,501.51,0.38,0.08
Current Debt,0,0,0,0.91,0,0,-,-,0,0.15,0
Other Current Liabilities,1.93,1.3,1.08,32.85,0.33,0.62,-,-,45.03,0.2,0.05
Total Current Liabilities,1.93,1.3,1.08,33.77,0.33,0.62,-,-,45.03,0.35,0.05
Long-Term Debt,1,1,0.97,0,0.86,0.4,-,-,0,0,0
Other Long-Term Liabilities,19.58,19.72,25.35,0,40.79,48.8,-,-,0,0,0
Total Long-Term Liabilities,20.58,20.72,26.31,0,41.65,49.2,-,-,0,0,0
Total Liabilities,22.51,22.02,27.39,33.77,41.98,49.82,68.02,50.6,45.03,0.35,0.05
Total Debt,1,1,0.97,0.91,0.86,0.4,0,0,0,0.15,0
Debt Growth,16.08%,151.32%,-,-,-,165.27%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,33.52,15.57,0,0.03,0.03
Retained Earnings,-20.98,-20.95,-26.8,-33.24,-41.39,-48.89,-28.52,-10.57,-43.51,-0,-0
Shareholders' Equity,-20.98,-20.95,-26.8,-33.24,-41.39,-48.89,5,5,-43.51,0.02,0.02
Total Liabilities and Equity,1.53,1.07,0.6,0.53,0.59,0.93,73.02,55.6,1.53,0.38,0.08
Net Cash / Debt,-0.89,-0.79,-0.8,-0.89,-0.65,-0.06,0.24,0.65,1.51,-0.1,0.03
Net Cash / Debt Growth,-,-,-,-,-,-,863.26%,-,-,-,-
Net Cash Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,0.00,0.01,-,-0.01,-
Working Capital,-1.73,-0.99,-0.7,-33.41,0.23,0.2,-,-,-43.51,-,-
Book Value Per Share,-0.34,-0.34,-0.43,-0.53,-0.66,-0.78,0.08,0.08,-3.08,0.00,-
