Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.34,0.41,0.45,0.01,0,-
Cash & Cash Equivalents,0.34,0.41,0.45,0.01,0,0
Cash Growth,6785.34%,-,-,-,-,-
Other Current Assets,0.1,0.14,0.22,0.25,0,-
Total Current Assets,0.44,0.56,0.67,0.26,0,-
Long-Term Investments,117.81,116.61,116.3,0,0,-
Total Long-Term Assets,117.81,116.61,116.3,0,0,-
Total Assets,118.25,117.16,116.96,0.26,0,-
Accounts Payable,0,0,0,0,0.01,-
Current Debt,0,0,0,0.2,0,-
Other Current Liabilities,0.51,0.22,0.07,0.04,0,-
Total Current Liabilities,0.51,0.22,0.07,0.24,0.01,-
Other Long-Term Liabilities,4.42,4.34,5.02,0,0,-
Total Long-Term Liabilities,4.42,4.34,5.02,0,0,-
Total Liabilities,4.93,4.56,5.09,0.24,0.01,-
Total Debt,0,0,0,0.2,0,-
Common Stock,0,0,0,0.03,0,-
Retained Earnings,-4.04,-4.01,-4.28,-0.01,-0,-
Shareholders' Equity,-4.04,-4.01,-4.28,0.02,-0,-
Total Liabilities and Equity,0.88,0.56,0.81,0.26,0,-
Net Cash / Debt,0.34,0.41,0.45,-0.19,0,0
Net Cash / Debt Growth,6785.34%,-,-,-,-,-
Net Cash Per Share,0.03,0.03,0.03,-0.08,-,-
Working Capital,-0.07,0.34,0.6,0.02,-0,-
Book Value Per Share,-0.34,-0.27,-0.30,0.01,-,-
