Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.33,0.46,0.5,0.58,0.78,0.83,0,-,0.03
Cash & Cash Equivalents,0.33,0.46,0.5,0.58,0.78,0.83,0,0,0.03
Cash Growth,-57.83%,-44.89%,26863.57%,-,3013.49%,-,-,-,-
Other Current Assets,0.01,0.01,0,0,0,0.01,-,-,0.03
Total Current Assets,0.33,0.46,0.5,0.58,0.78,0.84,-,-,0.06
Long-Term Investments,34.34,34.17,58.16,58.08,58.08,58.08,-,-,0
Total Long-Term Assets,34.34,34.17,58.16,58.08,58.08,58.08,-,-,0
Total Assets,34.68,34.63,58.66,58.66,58.86,58.91,0.08,-,0.06
Accounts Payable,0.15,0.12,0.09,0.06,0.03,0,0,-,0.05
Current Debt,0,0,0,0,0,0,0.1,-,0
Other Current Liabilities,0.04,0.01,0.01,0.01,0.02,0.02,0.01,-,0
Total Current Liabilities,0.19,0.13,0.1,0.07,0.05,0.03,0.11,-,0.05
Other Long-Term Liabilities,1.62,1.62,1.62,1.62,1.62,1.62,0,-,0
Total Long-Term Liabilities,1.62,1.62,1.62,1.62,1.62,1.62,0,-,0
Total Liabilities,1.8,1.75,1.71,1.68,1.66,1.64,0.11,-,0.05
Total Debt,0,0,0,0,0,0,0.1,-,0
Common Stock,0,0,2.22,5.32,8.16,10.91,0.03,-,0.03
Retained Earnings,-1.47,-1.28,-0.45,-0.38,-0.16,-0.09,-0.05,-,-0.02
Comprehensive Income,0,0,0.04,0.01,0,0,0,-,0
Shareholders' Equity,-1.47,-1.28,1.81,4.94,8.01,10.82,-0.03,-,0.01
Total Liabilities and Equity,0.33,0.46,3.52,6.62,9.67,12.46,0.08,-,0.06
Net Cash / Debt,0.33,0.46,0.5,0.58,0.78,0.83,-0.1,0,0.03
Net Cash / Debt Growth,-57.83%,-44.89%,-,-,3013.49%,-,-,-,-
Net Cash Per Share,0.05,0.06,0.07,0.08,0.25,0.42,-0.07,-,0.07
Working Capital,0.15,0.33,0.4,0.51,0.74,0.81,-,-,0.01
Book Value Per Share,-0.21,-0.18,0.24,0.66,2.62,5.51,-0.02,-,0.02
