Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
Cash & Equivalents,0.92,1.17,0.58,0.37,0.68,1.03,0.03,0.07,-,0.03
Cash & Cash Equivalents,0.92,1.17,0.58,0.37,0.68,1.03,0.03,0.07,0,0.03
Cash Growth,34.67%,13.70%,2223.56%,403.61%,-,4001.47%,-,-,-,-
Other Current Assets,0.2,0.36,0.33,0.34,0.34,0.35,-,-,-,-
Total Current Assets,1.13,1.53,0.92,0.71,1.02,1.37,-,-,-,-
Long-Term Investments,234.36,232.06,231.03,230.39,230.06,230.02,-,-,-,-
Other Long-Term Assets,0,0,0.01,0.09,0.17,0.26,-,-,-,-
Total Long-Term Assets,234.36,232.06,231.04,230.48,230.24,230.28,-,-,-,-
Total Assets,235.48,233.59,231.96,231.19,231.26,231.65,0.57,0.45,-,0.13
Current Debt,0,0,0,0,0,0,-,0.1,-,0
Other Current Liabilities,1.3,0.82,0.56,0.58,0.67,0.59,-,0.33,-,0.11
Total Current Liabilities,1.3,0.82,0.56,0.58,0.67,0.59,-,0.43,-,0.11
Other Long-Term Liabilities,9.14,9.25,8.84,8.65,8.65,8.65,-,0,-,0
Total Long-Term Liabilities,9.14,9.25,8.84,8.65,8.65,8.65,-,0,-,0
Total Liabilities,10.44,10.07,9.4,9.23,9.32,9.24,0.55,0.43,-,0.11
Total Debt,0,0,0,0,0,0,0.1,0.1,-,0
Common Stock,0,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-9.32,-8.54,-8.48,-8.04,-8.06,-7.59,-0,-0,-,-0
Shareholders' Equity,-9.32,-8.54,-8.48,-8.04,-8.06,-7.59,0.02,0.02,-,0.02
Total Liabilities and Equity,1.13,1.53,0.92,1.19,1.26,1.65,0.57,0.45,-,0.13
Net Cash / Debt,0.92,1.17,0.58,0.37,0.68,1.03,-0.07,-0.03,0,0.03
Net Cash / Debt Growth,34.67%,13.70%,-,-,-,4001.47%,-,-,-,-
Net Cash Per Share,0.03,0.04,0.02,0.01,0.02,0.09,-0.01,-0.01,-,-
Working Capital,-0.18,0.71,0.36,0.13,0.35,0.78,-,-,-,-
Book Value Per Share,-0.32,-0.30,-0.29,-0.28,-0.28,-0.68,0.01,0.01,-,-
