Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,1.57,1.73,0,0,-,0
Cash & Cash Equivalents,1.57,1.73,0,0,0,0
Other Current Assets,0.37,0.33,-,-,-,0
Total Current Assets,1.93,2.06,-,-,-,0
Long-Term Investments,239.96,237.44,-,-,-,0
Other Long-Term Assets,0,0.07,-,-,-,0.62
Total Long-Term Assets,239.96,237.51,-,-,-,0.62
Total Assets,241.89,239.57,0.66,0.63,-,0.62
Accounts Payable,0.06,0.04,0.04,0.02,-,0.02
Current Debt,0,0,0.27,0.26,-,0.17
Other Current Liabilities,0.07,0.1,0.39,0.37,-,0.42
Total Current Liabilities,0.14,0.14,0.7,0.65,-,0.6
Other Long-Term Liabilities,8.05,8.05,0,0,-,0
Total Long-Term Liabilities,8.05,8.05,0,0,-,0
Total Liabilities,8.19,8.19,0.7,0.65,-,0.6
Total Debt,0,0,0.27,0.26,-,0.17
Common Stock,0,0,0.03,0.03,-,0.03
Retained Earnings,-6.25,-6.06,-0.07,-0.04,-,-0.01
Shareholders' Equity,-6.25,-6.06,-0.04,-0.02,-,0.01
Total Liabilities and Equity,1.93,2.13,0.66,0.63,-,0.62
Net Cash / Debt,1.57,1.73,-0.27,-0.26,0,-0.17
Net Cash Per Share,0.05,0.14,-0.04,-,-,-0.03
Working Capital,1.8,1.92,-,-,-,-0.6
Book Value Per Share,-0.20,-0.52,-0.01,-0.00,-,0.00
