Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-06
Cash & Equivalents,0.55,0.55,0.4,0.16,0.58,0.72,0.79,0.91,0
Cash & Cash Equivalents,0.55,0.55,0.4,0.16,0.58,0.72,0.79,0.91,0
Cash Growth,-5.51%,-22.63%,-49.56%,-82.88%,-,-,-,-,-
Other Current Assets,0.07,0.17,0.27,0.3,0.38,0.46,0.57,0.65,-
Total Current Assets,0.62,0.72,0.67,0.46,0.96,1.18,1.35,1.56,-
Long-Term Investments,224.66,223.53,222.51,222.32,222.38,222.36,222.34,222.33,-
Total Long-Term Assets,224.66,223.53,222.51,222.32,222.38,222.36,222.34,222.33,-
Total Assets,225.28,224.25,223.18,222.78,223.34,223.54,223.69,223.89,0.08
Accounts Payable,2.61,2.47,1.33,0.28,0.18,0.19,0.14,0.04,0
Current Debt,1.09,1.28,0.61,0,0,0,0,0,0
Other Current Liabilities,0.22,0.34,0.16,0.07,0.34,0.29,0.22,0.15,0.06
Total Current Liabilities,3.92,4.09,2.1,0.35,0.52,0.48,0.36,0.19,0.06
Other Long-Term Liabilities,14.39,13.16,8.96,11.03,16.44,16.79,20.1,21.13,0
Total Long-Term Liabilities,14.39,13.16,8.96,11.03,16.44,16.79,20.1,21.13,0
Total Liabilities,18.31,17.25,11.06,11.38,16.96,17.27,20.46,21.32,0.06
Total Debt,1.09,1.28,0.61,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,4.64,5.3,0.03
Retained Earnings,-17.5,-16.05,-10.23,-10.94,-15.96,-16.07,0.36,-0.3,-0
Shareholders' Equity,-17.5,-16.05,-10.23,-10.94,-15.96,-16.07,5,5,0.02
Total Liabilities and Equity,0.81,1.21,0.84,0.44,1.01,1.2,25.46,26.32,0.08
Net Cash / Debt,-0.54,-0.73,-0.21,0.16,0.58,0.72,0.79,0.91,0
Net Cash / Debt Growth,-,-,-,-82.88%,-,-,-,-,-
Net Cash Per Share,-0.02,-0.03,-0.01,0.01,0.02,0.03,0.03,0.11,-
Working Capital,-3.3,-3.37,-1.43,0.11,0.44,0.7,1,1.37,-
Book Value Per Share,-0.63,-0.58,-0.37,-0.39,-0.60,-0.58,0.18,0.59,0.01
