Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.08,0.48,0.96,1.52,1.76,0.04
Cash & Cash Equivalents,0.08,0.48,0.96,1.52,1.76,0.04
Cash Growth,-95.72%,966.62%,-,-,-,-
Other Current Assets,0.45,0.5,0.64,0.78,0.92,0
Total Current Assets,0.53,0.98,1.6,2.3,2.68,0.04
Long-Term Investments,328.33,325.44,322.8,321.18,320.77,0
Other Long-Term Assets,0,0,0,0,0,0.35
Total Long-Term Assets,328.33,325.44,322.8,321.18,320.77,0.35
Total Assets,328.85,326.41,324.39,323.48,323.45,0.39
Accounts Payable,0.25,0.11,0.02,0.05,0.01,0
Current Debt,0,0,0,0,0,0.08
Other Current Liabilities,6.24,4.28,3.54,0.24,0.12,0.3
Total Current Liabilities,6.49,4.38,3.56,0.29,0.13,0.38
Other Long-Term Liabilities,326.65,324.25,322.2,320.99,320.99,0
Total Long-Term Liabilities,326.65,324.25,322.2,320.99,320.99,0
Total Liabilities,333.14,328.63,325.76,321.28,321.12,0.38
Total Debt,0,0,0,0,0,0.08
Common Stock,0,0,1.57,2.78,2.78,0.03
Retained Earnings,-4.29,-2.21,-2.94,-0.59,-0.45,-0.01
Shareholders' Equity,-4.29,-2.21,-1.37,2.19,2.33,0.01
Total Liabilities and Equity,328.85,326.41,324.39,323.48,323.45,0.39
Net Cash / Debt,0.08,0.48,0.96,1.52,1.76,-0.04
Net Cash / Debt Growth,-95.72%,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.02,0.04,0.09,-0.00
Working Capital,-5.97,-3.4,-1.96,2.01,2.55,-0.34
Book Value Per Share,-0.11,-0.06,-0.04,0.06,0.12,0.00
