Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.77,0.32,0.44,0.53,0.72,0.84,0.03,0.03
Cash & Cash Equivalents,0.77,0.32,0.44,0.53,0.72,0.84,0.03,0.03
Cash Growth,6.21%,-62.11%,1674.50%,2009.31%,-,-,-,-
Other Current Assets,0.21,0.32,0.43,0.54,0.59,0.7,0,0
Total Current Assets,0.98,0.64,0.87,1.06,1.31,1.54,0.03,0.03
Long-Term Investments,169.7,169.2,168.59,168.52,168.53,168.52,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.5,0.37
Total Long-Term Assets,169.7,169.2,168.59,168.52,168.53,168.52,0.5,0.37
Total Assets,170.68,169.84,169.46,169.58,169.84,170.06,0.53,0.39
Accounts Payable,0.11,0.04,0.02,0.05,0.01,0.03,0.03,0.04
Current Debt,0,0,0,0,0,0,0.1,0.05
Other Current Liabilities,0.35,0.28,0.11,0.14,0.17,0.22,0.46,0.32
Total Current Liabilities,0.46,0.32,0.13,0.18,0.18,0.25,0.59,0.41
Other Long-Term Liabilities,13.12,12.27,12.2,12.69,15.07,14.74,0,0
Total Long-Term Liabilities,13.12,12.27,12.2,12.69,15.07,14.74,0,0
Total Liabilities,13.59,12.59,12.33,12.88,15.24,14.99,0.59,0.41
Total Debt,0,0,0,0,0,0,0.1,0.05
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.69,-11.45,-11.38,-11.81,-13.92,-13.44,-0.09,-0.04
Shareholders' Equity,-11.69,-11.45,-11.38,-11.81,-13.92,-13.44,-0.06,-0.01
Total Liabilities and Equity,1.9,1.14,0.95,1.07,1.32,1.55,0.53,0.39
Net Cash / Debt,0.77,0.32,0.44,0.53,0.72,0.84,-0.08,-0.03
Net Cash / Debt Growth,6.21%,-62.11%,-,-,-,-,-,-
Net Cash Per Share,0.03,0.01,0.02,0.02,0.05,0.05,-0.02,-0.01
Working Capital,0.51,0.32,0.74,0.88,1.13,1.29,-0.57,-0.38
Book Value Per Share,-0.52,-0.51,-0.51,-0.53,-1.03,-0.73,-0.01,-0.00
