Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-21
Cash & Equivalents,0.34,0.4,0.49,0.66,0.98,1.06,1.19,2,0
Cash & Cash Equivalents,0.34,0.4,0.49,0.66,0.98,1.06,1.19,2,0
Cash Growth,-65.81%,-62.14%,-59.02%,-67.16%,-,-,-,-,-
Other Current Assets,0.09,0.2,0.31,0.39,0.41,0.5,0.58,0.67,0.01
Total Current Assets,0.42,0.6,0.8,1.05,1.4,1.56,1.77,2.67,0.01
Long-Term Investments,217.27,215.49,214.59,214.28,214.41,214.39,214.38,4,0
Other Long-Term Assets,0,0,0,0,0,0,0,0.52,0.02
Total Long-Term Assets,217.27,215.49,214.59,214.28,214.41,214.39,214.38,4.52,0.02
Total Assets,217.69,216.09,215.39,215.33,215.81,215.95,216.15,7.19,0.03
Accounts Payable,0,0,0.01,0.02,0.16,0.02,0.07,6.81,0
Current Debt,0,0,0,0,0,0,0,0.08,0
Other Current Liabilities,0.61,0.49,0.06,0.13,0.06,0.17,0.12,0.37,0.02
Total Current Liabilities,0.61,0.49,0.07,0.15,0.22,0.19,0.18,7.26,0.02
Other Long-Term Liabilities,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0
Total Long-Term Liabilities,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0,0
Total Liabilities,8.11,7.99,7.57,7.65,7.73,7.69,7.69,7.26,0.02
Total Debt,0,0,0,0,0,0,0,0.08,0
Common Stock,0,0,0,0,0,0,5.36,0.03,0.03
Retained Earnings,-7.59,-7.3,-6.68,-6.7,-6.3,-6.12,-0.36,-0.09,-0.02
Shareholders' Equity,-7.59,-7.29,-6.68,-6.7,-6.3,-6.12,5,-0.06,0.01
Total Liabilities and Equity,0.52,0.7,0.9,0.96,1.43,1.57,12.69,7.19,0.03
Net Cash / Debt,0.34,0.4,0.49,0.66,0.98,1.06,1.19,1.92,0
Net Cash / Debt Growth,-65.81%,-62.14%,-59.02%,-65.78%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.02,0.04,0.04,0.04,0.38,-
Working Capital,-0.19,0.11,0.73,0.9,1.17,1.36,1.59,-4.58,-0.01
Book Value Per Share,-0.28,-0.27,-0.24,-0.24,-0.24,-0.22,0.18,-0.01,0.00
