Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-25
Cash & Equivalents,0.19,0.38,0.55,0.59,0.77,0.85,0,0,0
Cash & Cash Equivalents,0.19,0.38,0.55,0.59,0.77,0.85,0,0,0
Cash Growth,-75.76%,-55.65%,-,-,-,-,-,-,-
Other Current Assets,0.1,0.15,0.06,0.16,0.2,0.28,-,-,-
Total Current Assets,0.29,0.53,0.62,0.76,0.97,1.13,-,-,-
Long-Term Investments,156.69,155.36,154.66,154.46,154.45,154.44,-,-,-
Total Long-Term Assets,156.69,155.36,154.66,154.46,154.45,154.44,-,-,-
Total Assets,156.98,155.89,155.28,155.21,155.42,155.58,0.32,0.08,0.03
Accounts Payable,1.29,0,0,0,0.22,0,0.06,0.05,0
Other Current Liabilities,0.39,0.83,1.06,0.65,0.11,0.12,0.24,0.01,0.01
Total Current Liabilities,1.68,0.83,1.06,0.65,0.33,0.12,0.3,0.06,0.01
Other Long-Term Liabilities,5.41,5.41,5.41,5.41,5.41,5.41,0,0,0
Total Long-Term Liabilities,5.41,5.41,5.41,5.41,5.41,5.41,0,0,0
Total Liabilities,7.09,6.24,6.47,6.05,5.74,5.53,0.3,0.06,0.01
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-6.02,-5.37,-5.64,-5.3,-4.76,-4.39,-0.01,-0,-0
Shareholders' Equity,-6.02,-5.37,-5.64,-5.3,-4.76,-4.39,0.02,0.02,0.02
Total Liabilities and Equity,1.07,0.86,0.82,0.76,0.97,1.13,0.32,0.08,0.03
Net Cash / Debt,0.19,0.38,0.55,0.59,0.77,0.85,0,0,0
Net Cash / Debt Growth,-75.76%,-55.65%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.03,0.07,0.06,-,-,-
Working Capital,-1.4,-0.3,-0.44,0.11,0.64,1.01,-,-,-
Book Value Per Share,-0.30,-0.27,-0.29,-0.27,-0.43,-0.30,0.01,0.01,-
