Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+99 Quarters
Accounts Payable,0,0,0,0,0,11.33,8.72,11.88,10.89,15.29,13.48,17.48,15.12,13.12,12.23,9.72,8.54,7.33,5.96,5.53,4.88,4.83,4.26,4.11,3.98,4.11,3.73,3.31,3.07,3.35,3.49,3.37,3.4,3.89,3.93,4.05,4.84,5.16,5.23,5.52,Upgrade
Current Debt,"3,100.23","2,100","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,025",625,365,0,92,0,0,0,62,0,0,0,3.5,0,0,0,0,0,0,0,Upgrade
Other Current Liabilities,0,0,0,0,0,-11.33,-8.72,-11.88,-10.89,-15.29,-13.48,-17.48,-15.12,-13.12,-12.23,-9.72,-8.54,-7.33,-5.96,-5.53,0,0,0,-4.11,0,-4.11,-3.73,-3.31,0,-3.35,-3.49,-3.37,0,-3.89,-3.93,-4.05,-4.84,-5.16,-5.23,-5.52,Upgrade
Total Current Liabilities,"3,100.23","2,100","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,029.88",629.83,369.26,0,95.98,0,0,0,65.07,0,0,0,6.9,0,0,0,0,0,0,0,Upgrade
Long-Term Debt,462.55,463.29,465.07,465.7,482.41,311.86,311.79,301.72,301.65,301.58,301.51,301.44,301.6,5.16,5.27,5.5,6.21,33.18,33.21,32.96,30,30,230,530,542.89,586.69,388.79,90.88,92.97,95.07,97.16,99.25,101.35,104.94,107.03,109.03,113.16,114.95,193.81,193.81,Upgrade
Other Long-Term Liabilities,"2,637.68","1,636.71",734.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Total Long-Term Liabilities,"3,100.23","2,100","1,200",465.7,482.41,311.86,311.79,301.72,301.65,301.58,301.51,301.44,301.6,5.16,5.27,5.5,6.21,33.18,33.21,32.96,30,30,230,530,542.89,586.69,388.79,90.88,92.97,95.07,97.16,99.25,101.35,104.94,107.03,109.03,113.16,114.95,193.81,193.81,Upgrade
Total Liabilities,"44,342.04","43,532.74","43,309.78","42,560.3","42,421.76","25,037.24","24,542.79","22,977.3","21,258.72","20,772.88","20,503.49","18,350.62","18,367.56","17,360.8","16,609.69","16,087.6","15,795.8","15,132.8","15,150.41","15,125.29","13,585.03","13,059.89","13,151.3","13,163.67","13,000.51","12,887.38","12,424.12","12,246.61","12,143.22","12,142.6","11,954.74","11,985.11","11,720.31","11,461.01","11,397.04","11,588.88","11,516.6","11,435.54","11,757.91","11,927.96",Upgrade
Total Debt,"3,562.79","2,563.29","1,665.07",465.7,482.41,311.86,311.79,301.72,301.65,301.58,301.51,301.44,301.6,5.16,5.27,5.5,6.21,33.18,33.21,32.96,"1,055",655,595,530,634.89,586.69,388.79,90.88,154.97,95.07,97.16,99.25,104.85,104.94,107.03,109.03,113.16,114.95,193.81,193.81,Upgrade
Debt Growth,638.54%,721.94%,434.04%,54.35%,59.92%,3.41%,3.41%,0.09%,0.02%,5743.48%,5620.22%,5377.81%,4754.34%,-84.45%,-84.13%,-83.31%,-99.41%,-94.93%,-94.42%,-93.78%,66.17%,11.64%,53.04%,483.19%,309.68%,517.14%,300.15%,-8.44%,47.81%,-9.41%,-9.22%,-8.97%,-7.35%,-8.70%,-44.77%,-43.74%,-41.61%,-40.69%,-0.77%,-0.77%,Upgrade
