Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.05,0.01,0.1,0.38,0.45,0.58,0,0
Cash & Cash Equivalents,0.05,0.01,0.1,0.38,0.45,0.58,0,0
Cash Growth,-88.42%,-98.66%,-,-,-,-,-,-
Other Current Assets,0.03,0.13,0.19,0.11,0.18,0.24,-,0
Total Current Assets,0.08,0.14,0.29,0.49,0.63,0.83,-,0
Long-Term Investments,119.16,117.48,116.17,116.16,116.16,116.15,-,0
Other Long-Term Assets,0,0,0,0,0,0,-,0.15
Total Long-Term Assets,119.16,117.48,116.17,116.16,116.16,116.15,-,0.15
Total Assets,119.24,117.62,116.46,116.65,116.78,116.98,0.47,0.15
Accounts Payable,0.96,0.27,0.27,0.26,0.15,0.1,0,0
Current Debt,2.58,1.15,0,0,0,0,0.25,0.09
Other Current Liabilities,0,0,0,0,0,0,0.2,0.04
Total Current Liabilities,3.54,1.42,0.27,0.26,0.15,0.1,0.45,0.13
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Liabilities,7.57,5.45,4.29,4.29,4.18,4.13,0.45,0.13
Total Debt,2.58,1.15,0,0,0,0,0.25,0.09
Common Stock,0,0,0,0,0,5.23,0.03,0.03
Retained Earnings,-7.49,-5.31,-4,-3.8,-3.55,-0.23,-0.01,-0.01
Shareholders' Equity,-7.49,-5.31,-4,-3.8,-3.55,5,0.02,0.02
Total Liabilities and Equity,0.08,0.14,0.29,0.49,0.63,9.13,0.47,0.15
Net Cash / Debt,-2.53,-1.14,0.1,0.38,0.45,0.58,-0.25,-0.09
Net Cash Per Share,-0.17,-0.08,0.01,0.03,0.03,0.04,-0.10,-0.04
Working Capital,-3.46,-1.28,0.02,0.23,0.48,0.72,-,-0.13
Book Value Per Share,-0.51,-0.36,-0.27,-0.33,-0.24,0.35,0.01,0.01
