Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.01,0.12,0.19,0.28,0.18,0.49,0.53,0.03
Cash & Cash Equivalents,0.01,0.12,0.19,0.28,0.18,0.49,0.53,0.03
Cash Growth,-96.01%,-76.24%,-64.07%,1032.60%,-,-,-,-
Other Current Assets,0.1,0.14,0.17,0.19,0.21,0.17,0,0.1
Total Current Assets,0.11,0.26,0.36,0.48,0.39,0.67,0.53,0.12
Long-Term Investments,14.15,14.01,147.31,146.67,146.64,146.63,0,0
Other Long-Term Assets,0,0,0.02,0.06,0.1,0.14,0.18,0
Total Long-Term Assets,14.15,14.01,147.33,146.73,146.73,146.76,0.18,0
Total Assets,14.26,14.27,147.69,147.21,147.12,147.43,0.71,0.12
Accounts Payable,0.26,0.12,0.08,0.08,0.07,0.2,0.02,0.06
Current Debt,0,0,0,0,0,0,0.66,0
Other Current Liabilities,0.06,0,0.15,0.01,0,0,0,0.04
Total Current Liabilities,0.32,0.12,0.24,0.09,0.07,0.2,0.69,0.1
Other Long-Term Liabilities,0.5,0.5,5.03,5.03,5.03,5.03,0,0
Total Long-Term Liabilities,0.5,0.5,5.03,5.03,5.03,5.03,0,0
Total Liabilities,0.82,0.62,5.27,5.12,5.1,5.24,0.69,0.1
Total Debt,0,0,0,0,0,0,0.66,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-0.56,-0.27,-4.56,-4.54,-4.6,-4.43,0,0
Shareholders' Equity,-0.56,-0.27,-4.56,-4.54,-4.6,-4.43,0.03,0.03
Total Liabilities and Equity,0.26,0.35,0.71,0.58,0.5,0.8,0.71,0.12
Net Cash / Debt,0.01,0.12,0.19,0.28,0.18,0.49,-0.14,0.03
Net Cash / Debt Growth,-96.01%,-76.24%,-,1032.60%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.01,0.01,0.03,-0.03,0.01
Working Capital,-0.21,0.14,0.13,0.39,0.32,0.46,-0.16,0.03
Book Value Per Share,-0.09,-0.01,-0.24,-0.24,-0.24,-0.24,0.01,0.01
