Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.57,0.04,0.07,0.17,0.38,0,0,-,0
Cash & Cash Equivalents,0.57,0.04,0.07,0.17,0.38,0,0,0,0
Cash Growth,49.50%,-,-,-,-,-,-,-,-
Other Current Assets,0.33,0.33,0.36,0.38,0.34,-,-,-,0
Total Current Assets,0.89,0.37,0.42,0.55,0.72,-,-,-,0
Long-Term Investments,10.33,303.18,301.82,301.57,301.52,-,-,-,0
Other Long-Term Assets,0,0,0.08,0.16,0.24,-,-,-,0.04
Total Long-Term Assets,10.33,303.18,301.9,301.73,301.76,-,-,-,0.04
Total Assets,11.22,303.55,302.32,302.28,302.48,0.47,0.07,-,0.04
Accounts Payable,0.57,0.28,0.36,0.35,0.35,0,0,-,0
Current Debt,0,0,0,0,0,0.19,0.02,-,0
Other Current Liabilities,0.64,0.28,0,0,0,0.26,0.03,-,0.04
Total Current Liabilities,1.21,0.56,0.36,0.35,0.35,0.45,0.05,-,0.04
Long-Term Debt,0.2,0.2,0,0,0,0,0,-,0
Other Long-Term Liabilities,15.21,15.01,15.08,15.2,15.25,0,0,-,0
Total Long-Term Liabilities,15.41,15.21,15.08,15.2,15.25,0,0,-,0
Total Liabilities,16.62,15.77,15.44,15.54,15.6,0.45,0.05,-,0.04
Total Debt,0.2,0.2,0,0,0,0.19,0.02,-,0
Debt Growth,-,7.06%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,-,0
Retained Earnings,-15.79,-14.76,-14.64,-14.76,-14.62,-0,-0,-,-0
Shareholders' Equity,-15.79,-14.76,-14.63,-14.76,-14.62,0.02,0.02,-,-0
Total Liabilities and Equity,0.83,1.01,0.81,0.78,0.98,0.47,0.07,-,0.04
Net Cash / Debt,0.37,-0.16,0.07,0.17,0.38,-0.19,-0.02,0,0
Net Cash / Debt Growth,-3.11%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.01,-0.00,0.00,0.00,0.02,-0.02,-0.00,-,-
Working Capital,-0.31,-0.19,0.06,0.2,0.38,-,-,-,-0.04
Book Value Per Share,-0.41,-0.36,-0.35,-0.36,-0.81,0.00,0.00,-,-
