Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-07
Cash & Equivalents,1.1,1.15,1.26,1.41,0,0,0
Cash & Cash Equivalents,1.1,1.15,1.26,1.41,0,0,0
Other Current Assets,0.17,0.31,0.46,0.56,0,-,-
Total Current Assets,1.27,1.46,1.72,1.98,0,-,-
Long-Term Investments,134.51,133.39,132.79,132.61,0,-,-
Other Long-Term Assets,0,0,0,0.04,0.44,-,-
Total Long-Term Assets,134.51,133.39,132.79,132.65,0.44,-,-
Total Assets,135.79,134.85,134.5,134.63,0.44,0.25,0.13
Accounts Payable,0.49,0.28,0.24,0.13,0.4,0,0
Current Debt,0,0,0,0,0.1,0,0
Other Current Liabilities,0,0,0,0,0,0.31,0.19
Total Current Liabilities,0.49,0.28,0.24,0.13,0.5,0.31,0.19
Other Long-Term Liabilities,6.28,7.43,6.28,8.12,0,0,0
Total Long-Term Liabilities,6.28,7.43,6.28,8.12,0,0,0
Total Liabilities,6.77,7.71,6.52,8.25,0.5,0.31,0.19
Total Debt,0,0,0,0,0.1,0,0
Common Stock,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-5.49,-6.24,-4.8,-6.23,-0.09,-0.09,-0.09
Shareholders' Equity,-5.49,-6.24,-4.8,-6.23,-0.07,-0.07,-0.07
Total Liabilities and Equity,1.27,1.46,1.72,2.03,0.44,0.25,0.13
Net Cash / Debt,1.1,1.15,1.26,1.41,-0.1,0,0
Net Cash Per Share,0.07,0.07,0.08,0.11,-0.03,-,-
Working Capital,0.79,1.19,1.47,1.84,-0.5,-,-
Book Value Per Share,-0.34,-0.38,-0.30,-0.50,-0.02,-0.02,-
