Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0,0,0,0.04,0.33,1.49,0.02,0.03
Cash & Cash Equivalents,0,0,0,0.04,0.33,1.49,0.02,0.03
Cash Growth,-99.70%,-99.93%,-87.77%,65.97%,-,-,-,-
Other Current Assets,0.17,0.23,0.24,0.24,0.24,0,-,-
Total Current Assets,0.17,0.23,0.24,0.28,0.57,1.49,-,-
Long-Term Investments,300.33,297.88,293.68,293.29,293.26,293.25,-,-
Other Long-Term Assets,0,0,0.05,0.11,0.17,0,-,-
Total Long-Term Assets,300.33,297.88,293.73,293.39,293.42,293.25,-,-
Total Assets,300.5,298.11,293.97,293.67,293.99,294.75,0.13,0.09
Accounts Payable,0,0,0,0,0,0.01,0,0
Current Debt,3.5,3.46,0.45,0.3,0,0,0.08,0.06
Other Current Liabilities,18.97,11.37,6.44,1.95,0.68,0.2,0.02,0
Total Current Liabilities,22.47,14.83,6.89,2.25,0.68,0.21,0.1,0.06
Other Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,10.06,0,0
Total Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,10.06,0,0
Total Liabilities,32.54,24.89,16.95,12.31,10.75,10.28,0.1,0.06
Total Debt,3.5,3.46,0.45,0.3,0,0,0.08,0.06
Debt Growth,-,-,447.78%,376.30%,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-30.99,-23.96,-16.26,-11.89,-10.01,-8.78,-0,-0
Shareholders' Equity,-30.99,-23.96,-16.26,-11.89,-10.01,-8.78,0.02,0.02
Total Liabilities and Equity,1.55,0.94,0.69,0.42,0.74,1.5,0.13,0.09
Net Cash / Debt,-3.5,-3.46,-0.45,-0.26,0.33,1.49,-0.06,-0.04
Net Cash Per Share,-0.09,-0.09,-0.01,-0.00,0.02,0.10,-0.01,-0.00
Working Capital,-22.3,-14.6,-6.65,-1.97,-0.11,1.28,-,-
Book Value Per Share,-0.83,-0.64,-0.44,-0.12,-0.60,-0.61,0.00,-
