Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-05-06
Cash & Equivalents,0.05,0.27,0.47,0.29,0.94,0,0
Cash & Cash Equivalents,0.05,0.27,0.47,0.29,0.94,0,0
Cash Growth,-94.55%,-,-,-,-,-,-
Other Current Assets,0.15,0.18,0.22,0.24,0.24,-,-
Total Current Assets,0.2,0.45,0.69,0.53,1.18,-,-
Long-Term Investments,207.09,205.4,204.37,204.22,204.11,-,-
Other Long-Term Assets,0,0,0,0.03,0.09,-,-
Total Long-Term Assets,207.09,205.4,204.37,204.25,204.21,-,-
Total Assets,207.29,205.85,205.06,204.79,205.39,0.24,0.09
Current Debt,0.3,0.3,0.3,0,0,0.1,0
Other Current Liabilities,1.13,0.21,0.14,0.07,0.51,0.13,0.07
Total Current Liabilities,1.43,0.51,0.44,0.07,0.51,0.22,0.07
Other Long-Term Liabilities,6.53,6.53,6.53,6.53,6.53,0,0
Total Long-Term Liabilities,6.53,6.53,6.53,6.53,6.53,0,0
Total Liabilities,7.96,7.04,6.96,6.6,7.03,0.22,0.07
Total Debt,0.3,0.3,0.3,0,0,0.1,0
Debt Growth,-,209.79%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.76,-6.59,-6.27,-5.91,-5.75,-0.01,-0.01
Shareholders' Equity,-7.76,-6.59,-6.27,-5.91,-5.75,0.01,0.02
Total Liabilities and Equity,0.2,0.45,0.69,0.68,1.28,0.24,0.09
Net Cash / Debt,-0.25,-0.03,0.17,0.29,0.94,-0.1,0
Net Cash Per Share,-0.01,-0.00,0.01,0.01,-,-0.02,-
Working Capital,-1.23,-0.06,0.25,0.46,0.67,-,-
Book Value Per Share,-0.31,-0.26,-0.25,-0.24,-0.73,0.00,-
