Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Cash & Equivalents,0.13,0.3,0.39,0.49,0.74,0
Cash & Cash Equivalents,0.13,0.3,0.39,0.49,0.74,0
Cash Growth,-82.17%,-,-,-,-,-
Other Current Assets,0.11,0.11,0.14,0.15,0.06,0.11
Total Current Assets,0.24,0.41,0.53,0.64,0.79,0.11
Long-Term Investments,120.39,118.05,117.2,116.81,116.73,0
Total Long-Term Assets,120.39,118.05,117.2,116.81,116.73,0
Total Assets,120.64,118.46,117.73,117.45,117.52,0.11
Accounts Payable,0.01,0.01,0.06,0.02,0.01,0
Current Debt,1.15,0,0,0,0,0.11
Other Current Liabilities,0.01,0.01,0.01,0.02,0.02,0
Total Current Liabilities,1.17,0.02,0.07,0.04,0.03,0.11
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,0
Total Liabilities,5.19,4.05,4.09,4.06,4.06,0.11
Total Debt,1.15,0,0,0,0,0.11
Common Stock,0,0,0,0,0,0
Retained Earnings,-4.95,-3.63,-3.57,-3.33,-3.27,-0
Shareholders' Equity,-4.95,-3.63,-3.57,-3.33,-3.27,-0
Total Liabilities and Equity,0.24,0.41,0.53,0.73,0.79,0.11
Net Cash / Debt,-1.02,0.3,0.39,0.49,0.74,-0.11
Net Cash Per Share,-0.07,0.02,0.03,0.03,0.14,-0.04
Working Capital,-0.92,0.39,0.46,0.6,0.76,-0
Book Value Per Share,-0.33,-0.24,-0.24,-0.22,-0.63,-0.00
