Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.24,0.56,0.6,0.76,1.01,0,0,0
Cash & Cash Equivalents,0.24,0.56,0.6,0.76,1.01,0,0,0
Cash Growth,-75.87%,-,-,-,-,-,-,-
Other Current Assets,0.31,0.41,0.4,0.41,0.37,-,-,-
Total Current Assets,0.56,0.96,1,1.17,1.38,-,-,-
Long-Term Investments,178.53,177.01,176.22,175.97,175.95,-,-,-
Other Long-Term Assets,0,0,0.12,0.21,0.3,-,-,-
Total Long-Term Assets,178.53,177.01,176.34,176.18,176.25,-,-,-
Total Assets,179.09,177.98,177.34,177.35,177.63,0.42,0.31,0.08
Accounts Payable,0.56,0.18,0.05,0.1,0.17,0,0,0
Current Debt,0.45,0.45,0.45,0,0,0.08,0.03,0
Other Current Liabilities,0,0,0,0,0.05,0.32,0.26,0.06
Total Current Liabilities,1.01,0.63,0.5,0.1,0.22,0.4,0.29,0.06
Long-Term Debt,0,0,0,0.45,0.45,0,0,0
Total Long-Term Liabilities,0,0,0,0.45,0.45,0,0,0
Total Liabilities,1.01,0.63,0.5,0.54,0.67,0.4,0.29,0.06
Total Debt,0.45,0.45,0.45,0.45,0.45,0.08,0.03,0
Debt Growth,-,437.48%,1575.41%,-,-,-,-,-
Common Stock,0,0.59,1.39,1.65,1.65,0.03,0.03,0.03
Retained Earnings,-0.46,-0.26,-0.76,-0.8,-0.64,-0.01,-0.01,-0.01
Shareholders' Equity,-0.46,0.34,0.63,0.85,1.02,0.01,0.01,0.01
Total Liabilities and Equity,0.56,0.96,1.12,1.4,1.68,0.42,0.31,0.08
Net Cash / Debt,-0.21,0.11,0.15,0.31,0.56,-0.08,-0.03,0
Net Cash Per Share,-0.05,0.02,0.04,0.07,0.14,-0.02,-0.01,-
Working Capital,-0.46,0.34,0.5,1.08,1.16,-,-,-
Book Value Per Share,-0.11,0.08,0.14,0.20,0.25,0.00,0.00,-
