Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-23
Cash & Equivalents,2.09,0.03,0.12,0.25,0.46,0.54,0.67,0.73,0.04,0
Cash & Cash Equivalents,2.09,0.03,0.12,0.25,0.46,0.54,0.67,0.73,0.04,0
Cash Growth,351.12%,-94.24%,-81.48%,-66.05%,1198.01%,-,-,-,-,-
Other Current Assets,0.08,0.12,0.15,0.21,0.27,0.27,0.28,0.29,0.47,-
Total Current Assets,2.16,0.15,0.28,0.46,0.73,0.81,0.95,1.02,0.5,-
Long-Term Investments,25.04,277.66,276.4,276.03,276.12,276.08,276.06,276.04,0,-
Other Long-Term Assets,0,0,0,0,0.01,0.08,0.14,0.21,0,-
Total Long-Term Assets,25.04,277.66,276.4,276.03,276.13,276.16,276.2,276.25,0,-
Total Assets,27.2,277.81,276.68,276.49,276.86,276.97,277.15,277.27,0.5,0.03
Accounts Payable,0.14,0.11,0.08,0.05,0.02,0.05,0.02,0.02,0,0
Current Debt,0.3,0.25,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-
Other Current Liabilities,6.7,4,3.64,3.28,3.15,0.24,0.01,0.01,0.33,-
Total Current Liabilities,7.13,4.36,3.86,3.48,3.32,0.44,0.18,0.18,0.48,-
Other Long-Term Liabilities,7.22,10,10.03,12.96,14.7,9.66,9.66,9.66,0,-
Total Long-Term Liabilities,7.22,10,10.03,12.96,14.7,9.66,9.66,9.66,0,-
Total Liabilities,14.36,14.36,13.9,16.44,18.03,10.1,9.84,9.84,0.48,0.01
Total Debt,0.3,0.25,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0
Debt Growth,100.00%,66.67%,-,-,-,-,-,-,-,-
Common Stock,1.1,0,0,0,0,0,5.17,5.05,0.03,0.03
Retained Earnings,-13.53,-13.74,-13.46,-15.95,-17.17,-9.13,-0.17,-0.05,-0,-0
Shareholders' Equity,-12.43,-13.74,-13.46,-15.95,-17.17,-9.13,5,5,0.02,0.02
Total Liabilities and Equity,1.93,0.62,0.44,0.49,0.86,0.97,14.84,14.84,0.5,0.03
Net Cash / Debt,1.79,-0.22,-0.03,0.1,0.31,0.39,0.52,0.58,-0.11,0
Net Cash / Debt Growth,471.74%,-,-,-83.15%,-,-,-,-,-,-
Net Cash Per Share,0.26,-0.03,-0.00,0.01,0.05,0.01,0.08,0.08,-0.02,-
Working Capital,-4.97,-4.21,-3.59,-3.02,-2.6,0.37,0.77,0.84,0.02,-
Book Value Per Share,-1.80,-1.99,-1.95,-2.31,-2.56,-0.33,0.72,0.72,0.00,0.01
