Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-05
Cash & Equivalents,0.61,1.08,1.39,1.54,1.74,2.13,0.02,0.02,0.03
Short-Term Investments,180.58,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,181.19,1.08,1.39,1.54,1.74,2.13,0.02,0.02,0.03
Cash Growth,10314.54%,-49.25%,6307.20%,6724.89%,6858.93%,-,-,-,-
Other Current Assets,0.24,0.29,0.4,0.41,0.43,0.4,0.72,0,0
Total Current Assets,181.43,1.37,1.79,1.95,2.17,2.53,0.74,0.02,0.03
Long-Term Investments,24.35,202.95,201.2,200.29,200.07,200.02,0,0,0
Other Long-Term Assets,0,0,0,0.09,0.19,0.28,0.57,0.3,0.09
Total Long-Term Assets,24.35,202.95,201.2,200.38,200.25,200.3,0.57,0.3,0.09
Total Assets,205.78,204.31,202.98,202.33,202.42,202.83,1.31,0.32,0.12
Accounts Payable,0.03,0,0.01,0.03,0,0,0,0,0
Current Debt,0,0,0,0,0,0,0.27,0.16,0
Other Current Liabilities,183.43,0.95,0.7,0.44,0.35,0.27,1.03,0.14,0.09
Total Current Liabilities,183.46,0.95,0.71,0.48,0.35,0.27,1.3,0.3,0.1
Other Long-Term Liabilities,12.58,7.37,7.7,10.18,12.66,16.66,0,0,0
Total Long-Term Liabilities,12.58,7.37,7.7,10.18,12.66,16.66,0,0,0
Total Liabilities,196.04,8.32,8.42,10.66,13.01,16.93,1.3,0.3,0.1
Total Debt,0,0,0,0,0,0,0.27,0.16,0
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-13.46,-6.2,-6.26,-8.45,-10.59,-14.1,-0.01,-0.01,-0
Shareholders' Equity,-13.46,-6.2,-6.26,-8.45,-10.59,-14.09,0.02,0.02,0.02
Total Liabilities and Equity,182.58,2.13,2.16,2.21,2.42,2.83,1.31,0.32,0.12
Net Cash / Debt,181.19,1.08,1.39,1.54,1.74,2.13,-0.25,-0.14,0.02
Net Cash / Debt Growth,10314.54%,-49.25%,-,-,8076.59%,-,-,-,-
Net Cash Per Share,7.36,0.04,0.06,0.06,0.07,-,-0.05,-0.05,-
Working Capital,-2.04,0.42,1.07,1.47,1.82,2.26,-0.55,-0.28,-0.07
Book Value Per Share,-0.55,-0.25,-0.25,-0.34,-0.42,-1.34,0.00,0.01,-
