Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.3,0.38,0.47,0.01,0.36,0.15,0.32
Cash & Cash Equivalents,0.3,0.38,0.47,0.01,0.36,0.15,0.32
Cash Growth,-17.98%,156.91%,45.10%,-,-,-,-
Other Current Assets,0.8,0.94,1.2,1.46,1.71,0.34,0.2
Total Current Assets,1.1,1.32,1.67,1.47,2.07,0.48,0.52
Long-Term Investments,537.17,531.94,527.5,525.71,525.05,0,0
Total Long-Term Assets,537.17,531.94,527.5,525.71,525.05,0,0
Total Assets,538.27,533.26,529.18,527.18,527.12,0.48,0.52
Current Debt,0.6,0.6,0.6,0.6,0.6,0.3,0.3
Other Current Liabilities,1.01,0.35,0.22,0.15,17.7,0.17,0.21
Total Current Liabilities,1.61,0.95,0.82,0.75,18.3,0.47,0.51
Other Long-Term Liabilities,24.8,23.79,27.42,29.48,18.38,0,0
Total Long-Term Liabilities,24.8,23.79,27.42,29.48,18.38,0,0
Total Liabilities,26.41,24.74,28.23,30.23,36.68,0.47,0.51
Total Debt,0.6,0.6,0.6,0.6,0.6,0.3,0.3
Debt Growth,-,100.00%,100.00%,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-24.2,-22.52,-26.41,-28.05,-34.55,-0.01,-0.01
Shareholders' Equity,-24.2,-22.52,-26.41,-28.05,-34.55,0.02,0.02
Total Liabilities and Equity,2.21,2.23,1.82,2.18,2.12,0.48,0.52
Net Cash / Debt,-0.3,-0.22,-0.13,-0.59,-0.24,-0.15,0.02
Net Cash Per Share,-0.00,-0.00,-0.00,-0.01,-0.00,-0.02,0.00
Working Capital,-0.51,0.37,0.86,0.73,-16.23,0.02,0.02
Book Value Per Share,-0.37,-0.34,-0.40,-0.43,-0.59,0.00,0.00
