Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0,0,0.06,0.51,0.03,0.03
Short-Term Investments,117.91,117.38,0,0,0,-
Cash & Cash Equivalents,117.92,117.38,0.06,0.51,0.03,0.03
Cash Growth,471560.13%,469414.89%,-,-,-,-
Other Current Assets,0,0.05,0.1,0.15,0.3,-
Total Current Assets,117.92,117.43,0.15,0.66,0.33,-
Long-Term Investments,0,0,116.84,116.67,0,-
Total Long-Term Assets,0,0,116.84,116.67,0,-
Total Assets,117.92,117.43,116.99,117.33,0.33,0.13
Current Debt,0.09,0,0,0,0.12,0.11
Other Current Liabilities,4.9,4.13,0.06,0.1,0.18,0
Total Current Liabilities,4.99,4.13,0.06,0.1,0.31,0.11
Other Long-Term Liabilities,0,0,4.03,4.03,0,0
Total Long-Term Liabilities,0,0,4.03,4.03,0,0
Total Liabilities,4.99,4.13,4.08,4.12,0.31,0.11
Total Debt,0.09,0,0,0,0.12,0.11
Debt Growth,-25.52%,-,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-4.99,-4.08,-3.81,-3.52,-0,-0
Shareholders' Equity,-4.99,-4.08,-3.81,-3.52,0.02,0.02
Total Liabilities and Equity,0,0.05,0.27,0.61,0.33,0.13
Net Cash / Debt,117.82,117.38,0.06,0.51,-0.1,-0.08
Net Cash Per Share,7.91,7.88,0.00,0.03,-0.03,-0.03
Working Capital,112.92,113.3,0.1,0.56,0.02,-
Book Value Per Share,-0.34,-0.27,-0.26,-0.24,0.01,0.01
