Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-08
Cash & Equivalents,0.46,0.53,0.58,0.68,0.88,0,-,0
Cash & Cash Equivalents,0.46,0.53,0.58,0.68,0.88,0,0,0
Cash Growth,-47.26%,-,-,-,-,-,-,-
Other Current Assets,0.51,0.55,0.57,0.97,0.56,-,-,-
Total Current Assets,0.98,1.09,1.15,1.65,1.44,-,-,-
Long-Term Investments,229.79,228.18,227.57,227.27,202,-,-,-
Other Long-Term Assets,0,0.11,0.25,0,0.51,-,-,-
Total Long-Term Assets,229.79,228.29,227.82,227.27,202.51,-,-,-
Total Assets,230.77,229.38,228.97,228.92,203.95,1.04,-,0.16
Accounts Payable,0.05,0.01,0.02,0.02,0.04,0.06,-,0
Current Debt,0,0,0,0,0,0.01,-,0.01
Other Current Liabilities,0.86,0.68,0.65,0.54,0.4,0.95,-,0.13
Total Current Liabilities,0.91,0.68,0.66,0.56,0.44,1.02,-,0.14
Other Long-Term Liabilities,7.88,7.88,7.88,7.88,7,0,-,0
Total Long-Term Liabilities,7.88,7.88,7.88,7.88,7,0,-,0
Total Liabilities,8.79,8.56,8.54,8.44,7.44,1.02,-,0.14
Total Debt,0,0,0,0,0,0.01,-,0.01
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-7.71,-7.26,-7.04,-6.76,-5.48,-0.01,-,-0.01
Shareholders' Equity,-7.71,-7.26,-7.04,-6.76,-5.48,0.02,-,0.02
Total Liabilities and Equity,1.08,1.3,1.5,1.67,1.95,1.04,-,0.16
Net Cash / Debt,0.46,0.53,0.58,0.68,0.88,-0.01,0,-0.01
Net Cash / Debt Growth,-47.26%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.02,0.14,-0.00,-,-
Working Capital,0.06,0.4,0.49,1.09,1,-,-,-
Book Value Per Share,-0.27,-0.26,-0.25,-0.25,-0.85,0.00,-,-
