Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-03
Cash & Equivalents,0.09,0.46,0.55,0.84,1.09,0.03,-,0.05
Cash & Cash Equivalents,0.09,0.46,0.55,0.84,1.09,0.03,0,0.05
Cash Growth,-91.50%,1449.63%,-,1540.94%,-,-,-,-
Other Current Assets,0.32,0.49,0.71,0.85,0.83,-,-,-
Total Current Assets,0.41,0.95,1.26,1.69,1.92,-,-,-
Long-Term Investments,239.11,236.98,235.83,235.75,235.76,-,-,-
Other Long-Term Assets,0,0,0,0.07,0.27,-,-,-
Total Long-Term Assets,239.11,236.98,235.83,235.83,236.03,-,-,-
Total Assets,239.52,237.93,237.09,237.52,237.95,0.42,-,0.15
Accounts Payable,0.74,0.52,0.2,0.22,0.15,0,-,0
Current Debt,0,0,0,0.09,0.09,0.1,-,0.03
Other Current Liabilities,0,0,0,0,0,0.33,-,0.13
Total Current Liabilities,0.74,0.52,0.2,0.3,0.24,0.42,-,0.16
Other Long-Term Liabilities,8.55,9.78,11.76,15.48,20.44,0,-,0
Total Long-Term Liabilities,8.55,9.78,11.76,15.48,20.44,0,-,0
Total Liabilities,9.29,10.3,11.97,15.78,20.68,0.42,-,0.16
Total Debt,0,0,0,0.09,0.09,0.1,-,0.03
Debt Growth,-,-,-,236.70%,-,-,-,-
Common Stock,0,0,0.68,0.38,0,0.03,-,0.03
Retained Earnings,-8.88,-9.35,-11.38,-14.39,-18.48,-0.03,-,-0.03
Shareholders' Equity,-8.88,-9.35,-10.71,-14.01,-18.48,-0.01,-,-0.01
Total Liabilities and Equity,0.41,0.95,1.26,1.77,2.2,0.42,-,0.15
Net Cash / Debt,0.09,0.46,0.55,0.75,1,-0.07,0,0.03
Net Cash / Debt Growth,-90.74%,-,-,2897.34%,-,-,-,-
Net Cash Per Share,0.00,0.02,0.02,0.03,0.03,-0.01,-,-
Working Capital,-0.34,0.43,1.06,1.39,1.68,-,-,-
Book Value Per Share,-0.31,-0.33,-0.37,-0.49,-0.64,-0.00,-,-
