Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-05
Cash & Equivalents,0.17,0.25,0.13,0.57,0.88,1.15,0.03,0
Cash & Cash Equivalents,0.17,0.25,0.13,0.57,0.88,1.15,0.03,0
Cash Growth,-80.46%,-77.86%,406.02%,-,-,-,-,-
Other Current Assets,0.37,0.52,0.57,0.81,0.88,0.98,0,-
Total Current Assets,0.54,0.77,0.7,1.38,1.75,2.13,0.03,-
Long-Term Investments,244.31,242.28,241.32,241.13,241.19,241.21,0,-
Other Long-Term Assets,0,0,0.08,0,0,0,0.37,-
Total Long-Term Assets,244.31,242.28,241.4,241.13,241.19,241.21,0.37,-
Total Assets,244.85,243.05,242.1,242.51,242.94,243.33,0.39,0.04
Accounts Payable,0.13,0.16,0.09,0.12,0.03,0.13,0.06,0
Current Debt,0,0,0,0,0,0,0.05,0
Other Current Liabilities,0.77,0.41,0.12,0.31,0.31,0.18,0.29,0.01
Total Current Liabilities,0.9,0.57,0.22,0.42,0.34,0.31,0.41,0.01
Other Long-Term Liabilities,12.24,14.07,15.86,18.9,22.8,26.19,0,0
Total Long-Term Liabilities,12.24,14.07,15.86,18.9,22.8,26.19,0,0
Total Liabilities,13.14,14.64,16.08,19.32,23.14,26.5,0.41,0.01
Total Debt,0,0,0,0,0,0,0.05,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.89,-13.44,-15.18,-18.02,-21.4,-24.37,-0.04,-0
Shareholders' Equity,-11.88,-13.44,-15.18,-18.02,-21.39,-24.37,-0.01,0.02
Total Liabilities and Equity,1.26,1.2,0.9,1.31,1.74,2.13,0.39,0.04
Net Cash / Debt,0.17,0.25,0.13,0.57,0.88,1.15,-0.03,0
Net Cash / Debt Growth,-80.46%,-77.86%,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.00,0.02,0.05,0.09,-0.00,-
Working Capital,-0.36,0.2,0.48,0.95,1.41,1.82,-0.38,-
Book Value Per Share,-0.40,-0.45,-0.51,-0.60,-1.27,-1.99,-0.00,0.00
