Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-08
Cash & Equivalents,0.02,0.08,0.27,0.5,1.4,0,-,0
Cash & Cash Equivalents,0.02,0.08,0.27,0.5,1.4,0,0,0
Cash Growth,-98.87%,5134.17%,-,1988092.00%,-,-,-,-
Other Current Assets,0.25,0.29,0.3,0.33,0.02,0,-,0
Total Current Assets,0.27,0.37,0.57,0.82,1.42,0,-,0
Long-Term Investments,20.29,87.64,87.2,87.12,87.11,0,-,0
Other Long-Term Assets,0,0.05,0.12,0.19,0,0.14,-,0.05
Total Long-Term Assets,20.29,87.69,87.32,87.31,87.11,0.14,-,0.05
Total Assets,20.56,88.06,87.89,88.13,88.53,0.15,-,0.05
Accounts Payable,0.54,0.15,0.15,0.17,0.07,0,-,0
Current Debt,0.59,0.3,0.3,0.28,0.25,0.05,-,0.03
Other Current Liabilities,0.29,0.12,0.1,0.05,0.06,0.08,-,0
Total Current Liabilities,1.42,0.57,0.55,0.51,0.39,0.12,-,0.03
Other Long-Term Liabilities,0.6,0.27,0.46,0.92,1.89,0,-,0
Total Long-Term Liabilities,0.6,0.27,0.46,0.92,1.89,0,-,0
Total Liabilities,2.03,0.84,1.01,1.43,2.28,0.12,-,0.03
Total Debt,0.59,0.3,0.3,0.28,0.25,0.05,-,0.03
Debt Growth,132.84%,566.30%,-,1038.76%,-,-,-,-
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-1.49,-0.2,-0.32,-0.41,-0.86,-0,-,-0
Shareholders' Equity,-1.49,-0.2,-0.32,-0.41,-0.86,0.02,-,0.02
Total Liabilities and Equity,0.54,0.64,0.69,1.02,1.42,0.15,-,0.05
Net Cash / Debt,-0.58,-0.22,-0.03,0.21,1.15,-0.04,0,-0.03
Net Cash Per Share,-0.06,-0.02,-0.00,0.02,0.50,-0.02,-,-
Working Capital,-1.16,-0.21,0.02,0.32,1.03,-0.12,-,-0.03
Book Value Per Share,-0.15,-0.02,-0.03,-0.04,-0.37,0.01,-,-
