Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.92,1.08,1.14,1.25,1.35,4.24,0
Cash & Cash Equivalents,0.92,1.08,1.14,1.25,1.35,4.24,0
Cash Growth,-32.26%,-74.49%,-,-,-,-,-
Receivables,0,0,0,0,0.02,0,0
Other Current Assets,0.34,0.45,0.57,0.69,0.76,0,0.01
Total Current Assets,1.26,1.53,1.71,1.94,2.13,4.24,0.01
Long-Term Investments,174.14,172.69,171.94,171.71,171.7,0,0
Other Long-Term Assets,0,0,0,0,0,0.56,0.11
Total Long-Term Assets,174.14,172.69,171.94,171.71,171.7,0.56,0.11
Total Assets,175.4,174.22,173.65,173.65,173.83,4.8,0.12
Accounts Payable,0.7,0.46,0.42,0.37,0.22,4.23,0
Current Debt,0,0,0,0,0,0.19,0
Other Current Liabilities,0,0,0,0,0,0.41,0.11
Total Current Liabilities,0.7,0.46,0.42,0.37,0.22,4.82,0.11
Other Long-Term Liabilities,5.95,5.95,5.95,5.95,5.95,0,0
Total Long-Term Liabilities,5.95,5.95,5.95,5.95,5.95,0,0
Total Liabilities,6.65,6.41,6.37,6.32,6.17,4.82,0.11
Total Debt,0,0,0,0,0,0.19,0
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.4,-4.88,-4.66,-4.38,-4.04,-0.04,-0.02
Shareholders' Equity,-5.4,-4.88,-4.66,-4.37,-4.04,-0.02,0.01
Total Liabilities and Equity,1.26,1.53,1.71,1.95,2.13,4.8,0.12
Net Cash / Debt,0.92,1.08,1.14,1.25,1.35,4.06,-0
Net Cash / Debt Growth,-32.26%,-73.32%,-,-,-,-,-
Net Cash Per Share,0.04,0.05,0.05,0.06,0.13,1.08,-0.00
Working Capital,0.55,1.07,1.29,1.57,1.9,-0.58,-0.1
Book Value Per Share,-0.25,-0.23,-0.22,-0.21,-0.38,-0.00,0.00
