Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.16,0.08,0.04,0.11,0.22,0.44,0.03,0.01
Cash & Cash Equivalents,0.16,0.08,0.04,0.11,0.22,0.44,0.03,0.01
Cash Growth,-29.26%,-81.59%,69.81%,1443.86%,-,-,-,-
Other Current Assets,0,0.01,0.09,0.19,0.24,0.35,-,-
Total Current Assets,0.16,0.1,0.13,0.3,0.46,0.79,-,-
Long-Term Investments,22.11,21.58,230.34,230.03,230.01,230,-,-
Total Long-Term Assets,22.11,21.58,230.34,230.03,230.01,230,-,-
Total Assets,22.27,21.67,230.47,230.33,230.47,230.79,0.52,0.36
Accounts Payable,0.99,0.69,0.54,0.41,0.39,0,0,0
Current Debt,1.71,0.95,0.45,0.2,0,0,0.4,0.3
Other Current Liabilities,0.33,0.27,0.14,0.08,0,0.22,0.1,0.04
Total Current Liabilities,3.03,1.91,1.12,0.69,0.39,0.22,0.5,0.34
Other Long-Term Liabilities,8.07,8.07,8.11,8.19,8.31,8.27,0,0
Total Long-Term Liabilities,8.07,8.07,8.11,8.19,8.31,8.27,0,0
Total Liabilities,11.11,9.98,9.23,8.88,8.71,8.49,0.5,0.34
Total Debt,1.71,0.95,0.45,0.2,0,0,0.4,0.3
Debt Growth,-,-,10.27%,-34.29%,-,-,-,-
Common Stock,0,0,0.22,0.57,0.57,0.57,0.03,0.03
Retained Earnings,-10.64,-9.79,-9.32,-9.12,-8.8,-8.27,-0,-0
Shareholders' Equity,-10.64,-9.78,-9.1,-8.55,-8.24,-7.71,0.02,0.02
Total Liabilities and Equity,0.47,0.2,0.13,0.33,0.47,0.79,0.52,0.36
Net Cash / Debt,-1.55,-0.86,-0.4,-0.09,0.22,0.44,-0.38,-0.29
Net Cash Per Share,-0.18,-0.06,-0.01,-0.00,0.01,0.02,-0.08,-0.06
Working Capital,-2.87,-1.82,-0.99,-0.39,0.07,0.57,-,-
Book Value Per Share,-1.22,-0.68,-0.31,-0.29,-0.28,-0.38,0.01,0.01
