Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.19,1.34,1.52,1.86,2.22,2.58,0.02,-,0
Cash & Cash Equivalents,1.19,1.34,1.52,1.86,2.22,2.58,0.02,0,0
Cash Growth,-46.52%,-47.96%,6222.67%,-,-,-,-,-,-
Other Current Assets,0.41,0.47,0.18,0.46,0.73,0.99,-,-,-
Total Current Assets,1.59,1.81,1.7,2.32,2.95,3.57,-,-,-
Long-Term Investments,288.25,285.58,282.68,281.92,281.55,281.52,-,-,-
Total Long-Term Assets,288.25,285.58,282.68,281.92,281.55,281.52,-,-,-
Total Assets,289.84,287.39,284.38,284.25,284.5,285.09,0.36,-,0.22
Current Debt,0,0,0,0,0,0,0.11,-,0
Other Current Liabilities,1.25,0.59,0.23,0.22,0.19,0.16,0.23,-,0.19
Total Current Liabilities,1.25,0.59,0.23,0.22,0.19,0.16,0.34,-,0.2
Other Long-Term Liabilities,0.23,0.32,9.66,9.66,9.66,9.66,0,-,0
Total Long-Term Liabilities,0.23,0.32,9.66,9.66,9.66,9.66,0,-,0
Total Liabilities,1.48,0.91,9.89,9.88,9.85,9.82,0.34,-,0.2
Total Debt,0,0,0,0,0,0,0.11,-,0
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,1.56,2.04,-7.7,-7.29,-6.87,-6.25,-0,-,-0
Shareholders' Equity,1.56,2.04,-7.7,-7.29,-6.87,-6.25,0.02,-,0.02
Total Liabilities and Equity,3.04,2.94,2.19,2.58,2.98,3.57,0.36,-,0.22
Net Cash / Debt,1.19,1.34,1.52,1.86,2.22,2.58,-0.09,0,-0
Net Cash / Debt Growth,-46.52%,-47.96%,-,-,-,-,-,-,-
Net Cash Per Share,0.03,0.04,0.04,0.05,0.06,0.29,-0.02,-,-
Working Capital,0.35,1.22,1.47,2.11,2.76,3.41,-,-,-
Book Value Per Share,0.04,0.06,-0.22,-0.21,-0.20,-0.70,0.01,-,-
