Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.26,0.43,0.78,0.97,1.12,0
Cash & Cash Equivalents,0.26,0.43,0.78,0.97,1.12,0
Cash Growth,-76.78%,8514.96%,-,-,-,-
Other Current Assets,0.2,0.3,0.41,0.47,0.41,-
Total Current Assets,0.46,0.73,1.2,1.44,1.53,-
Long-Term Investments,237.92,235.96,234.92,234.62,234.6,-
Other Long-Term Assets,0,0,0,0.06,0.16,-
Total Long-Term Assets,237.92,235.96,234.92,234.68,234.76,-
Total Assets,238.38,236.69,236.12,236.12,236.29,0.41
Accounts Payable,0.47,0.47,0.11,0.1,0.02,0
Current Debt,0,0,0,0,0,0.26
Other Current Liabilities,0.07,0.07,0.07,0.07,0.07,0.14
Total Current Liabilities,0.54,0.54,0.18,0.17,0.1,0.4
Other Long-Term Liabilities,8.93,10.57,10.88,12.5,18.51,0
Total Long-Term Liabilities,8.93,10.57,10.88,12.5,18.51,0
Total Liabilities,9.47,11.1,11.06,12.67,18.61,0.4
Total Debt,0,0,0,0,0,0.26
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-9.01,-10.38,-9.86,-11.16,-16.92,-0.01
Shareholders' Equity,-9.01,-10.38,-9.86,-11.16,-16.92,0.01
Total Liabilities and Equity,0.46,0.73,1.2,1.5,1.69,0.41
Net Cash / Debt,0.26,0.43,0.78,0.97,1.12,-0.25
Net Cash / Debt Growth,-76.78%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.03,0.07,0.09,-0.05
Working Capital,-0.08,0.19,1.01,1.27,1.43,-
Book Value Per Share,-0.31,-0.36,-0.34,-0.82,-1.32,0.00
