Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0.29,0.01,0.09,0.4,0.48,0.51,0.77,0.01
Cash & Cash Equivalents,0.02,0.29,0.01,0.09,0.4,0.48,0.51,0.77,0.01
Cash Growth,-94.68%,-38.29%,-97.79%,-88.30%,6139.24%,-,-,-,-
Other Current Assets,0.04,0.14,0.23,0.33,0.33,0.4,0.48,0.56,0.02
Total Current Assets,0.06,0.43,0.24,0.42,0.73,0.87,0.99,1.33,0.02
Long-Term Investments,420.09,416.52,414.65,414.06,414.02,414.02,414.01,414,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.44
Total Long-Term Assets,420.09,416.52,414.65,414.06,414.02,414.02,414.01,414,0.44
Total Assets,420.16,416.95,414.89,414.48,414.75,414.89,415,415.34,0.46
Accounts Payable,0.52,0.44,0.54,0.52,0.34,0.24,0.2,0.37,0.12
Current Debt,0.5,0.5,0,0,0,0,0,0,0.14
Other Current Liabilities,4.12,2.73,1.5,0.91,0.99,0.24,0.14,0.1,0.19
Total Current Liabilities,5.14,3.67,2.04,1.44,1.33,0.48,0.33,0.47,0.45
Other Long-Term Liabilities,7.35,15.42,19.76,22.24,31.84,28.74,41.55,39.07,0
Total Long-Term Liabilities,7.35,15.42,19.76,22.24,31.84,28.74,41.55,39.07,0
Total Liabilities,12.49,19.09,21.8,23.67,33.17,29.22,41.88,39.54,0.45
Total Debt,0.5,0.5,0,0,0,0,0,0,0.14
Common Stock,0,0,0,0,0,0,12.15,9.47,0.03
Retained Earnings,-12.32,-18.56,-21.46,-23.2,-32.42,-28.33,-7.15,-4.47,-0.01
Shareholders' Equity,-12.32,-18.56,-21.45,-23.2,-32.42,-28.33,5,5,0.01
Total Liabilities and Equity,0.16,0.53,0.34,0.48,0.75,0.89,46.88,44.54,0.46
Net Cash / Debt,-0.48,-0.21,0.01,0.09,0.4,0.48,0.51,0.77,-0.13
Net Cash / Debt Growth,-,-,-97.79%,-88.30%,-,-,-,-,-
Net Cash Per Share,-0.01,-0.00,0.00,0.00,0.01,0.01,0.01,0.02,-0.01
Working Capital,-5.08,-3.24,-1.8,-1.02,-0.6,0.39,0.66,0.86,-0.43
Book Value Per Share,-0.24,-0.36,-0.41,-0.45,-0.63,-0.55,0.10,0.15,0.00
