Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-09
Cash & Equivalents,0.01,0.14,0.28,0.39,0.51,0.64,0.01,0.02
Cash & Cash Equivalents,0.01,0.14,0.28,0.39,0.51,0.64,0.01,0.02
Cash Growth,-98.25%,-78.71%,2362.84%,1869.57%,-,-,-,-
Other Current Assets,0.28,0.31,0.38,0.37,0.39,0.36,0,0
Total Current Assets,0.29,0.44,0.65,0.76,0.9,1,0.01,0.02
Long-Term Investments,313.88,310.54,307.95,306.6,306.08,306.02,0,0
Other Long-Term Assets,0,0,0.03,0.11,0.2,0.28,0.22,0.05
Total Long-Term Assets,313.88,310.54,307.98,306.71,306.28,306.3,0.22,0.05
Total Assets,314.17,310.98,308.63,307.47,307.18,307.3,0.23,0.07
Accounts Payable,0,0,0,0,0,0,0,0
Current Debt,0.13,0.03,0,0,0,0,0.13,0
Other Current Liabilities,0.06,0.02,0.11,0.12,0.13,0.1,0.09,0.05
Total Current Liabilities,0.19,0.05,0.11,0.12,0.14,0.1,0.22,0.05
Long-Term Debt,6.22,6.22,6.22,6.22,6.22,6.22,0,0
Other Long-Term Liabilities,11.28,11.28,11.28,11.28,11.28,11.28,0,0
Total Long-Term Liabilities,17.5,17.5,17.5,17.5,17.5,17.5,0,0
Total Liabilities,17.69,17.55,17.61,17.62,17.64,17.6,0.22,0.05
Total Debt,6.35,6.25,6.22,6.22,6.22,6.22,0.13,0
Debt Growth,1.99%,0.47%,4876.00%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-17.4,-17.11,-16.93,-16.75,-16.45,-16.31,-0.01,-0
Shareholders' Equity,-17.4,-17.11,-16.93,-16.75,-16.45,-16.31,0.02,0.02
Total Liabilities and Equity,0.29,0.44,0.68,0.87,1.18,1.3,0.23,0.07
Net Cash / Debt,-6.34,-6.11,-5.94,-5.83,-5.71,-5.58,-0.11,0.02
Net Cash Per Share,-0.17,-0.16,-0.16,-0.15,-0.15,-0.35,-0.02,0.00
Working Capital,0.1,0.39,0.55,0.64,0.77,0.89,-0.2,-0.03
Book Value Per Share,-0.46,-0.45,-0.44,-0.44,-0.43,-1.02,0.00,0.00
