Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-16
Cash & Equivalents,0.6,0.82,0.73,0.95,1.31,0.06,0.05,0
Cash & Cash Equivalents,0.6,0.82,0.73,0.95,1.31,0.06,0.05,0
Cash Growth,-54.09%,1275.19%,1403.33%,-,-,-,-,-
Other Current Assets,0.23,0.26,0.26,0.29,0.25,0,-,-
Total Current Assets,0.84,1.08,1,1.24,1.56,0.06,-,-
Long-Term Investments,118.06,116.9,116.79,116.75,116.73,0,-,-
Other Long-Term Assets,0,0.02,0.08,0.13,0.19,0.25,-,-
Total Long-Term Assets,118.06,116.92,116.87,116.88,116.92,0.25,-,-
Total Assets,118.9,118,117.86,118.12,118.48,0.31,0.22,0.04
Current Debt,0,0,0,0,0,0.29,0.21,0.01
Other Current Liabilities,0.29,0.09,0.07,0.11,0.21,0.03,0,0
Total Current Liabilities,0.29,0.09,0.07,0.11,0.21,0.31,0.21,0.01
Other Long-Term Liabilities,8.84,8.09,8.05,8.06,7.06,1.01,0,0
Total Long-Term Liabilities,8.84,8.09,8.05,8.06,7.06,1.01,0,0
Total Liabilities,9.12,8.18,8.12,8.18,7.26,1.33,0.21,0.01
Total Debt,0,0,0,0,0,0.29,0.21,0.01
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.96,-7,-6.98,-6.78,-5.51,-1.02,-0.02,-0
Shareholders' Equity,-7.96,-7,-6.98,-6.78,-5.51,-1.02,0.01,0.02
Total Liabilities and Equity,1.16,1.18,1.14,1.39,1.76,0.31,0.22,0.04
Net Cash / Debt,0.6,0.82,0.73,0.95,1.31,-0.23,-0.16,-0.01
Net Cash / Debt Growth,-54.09%,-,-,-,-,-,-,-
Net Cash Per Share,0.04,0.06,0.05,0.06,0.27,-0.09,-0.07,-
Working Capital,0.55,1,0.93,1.12,1.35,-0.25,-,-
Book Value Per Share,-0.55,-0.49,-0.49,-0.39,-1.12,-0.41,0.00,-
