Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-02-02
Cash & Equivalents,0.05,0.16,0.33,0.5,0.63,0.95,0.02,0.03,-,0
Cash & Cash Equivalents,0.05,0.16,0.33,0.5,0.63,0.95,0.02,0.03,0,0
Cash Growth,-91.58%,-83.12%,1574.81%,1622.00%,-,-,-,-,-,-
Other Current Assets,0.07,0.11,0.19,0.29,0.41,0.45,0.5,0.01,-,0
Total Current Assets,0.13,0.27,0.52,0.79,1.05,1.4,0.52,0.04,-,0
Long-Term Investments,210.12,208.24,206.54,205.55,205.32,205.28,0,0,-,0
Other Long-Term Assets,0,0,0,0,0,0,0.52,0.38,-,0.12
Total Long-Term Assets,210.12,208.24,206.54,205.55,205.32,205.28,0.52,0.38,-,0.12
Total Assets,210.25,208.51,207.06,206.34,206.37,206.69,1.04,0.42,-,0.12
Accounts Payable,6.92,6.21,5.29,4.84,4.31,0.4,0.87,0.24,-,0.1
Current Debt,0,0,0,0,0,0,0.16,0.16,-,0
Total Current Liabilities,6.92,6.21,5.29,4.84,4.31,0.4,1.03,0.41,-,0.1
Other Long-Term Liabilities,1.2,2.71,2.01,8.85,13.57,16.55,0,0,-,0
Total Long-Term Liabilities,1.2,2.71,2.01,8.85,13.57,16.55,0,0,-,0
Total Liabilities,8.13,8.92,7.29,13.69,17.88,16.95,1.03,0.41,-,0.1
Total Debt,0,0,0,0,0,0,0.16,0.16,-,0
Common Stock,0,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-6.94,-7.91,-6.78,-12.62,-16.79,-15.53,-0.01,-0.01,-,-0
Shareholders' Equity,-6.94,-7.91,-6.78,-12.62,-16.79,-15.53,0.01,0.01,-,0.02
Total Liabilities and Equity,1.19,1.01,0.52,1.07,1.09,1.41,1.04,0.42,-,0.12
Net Cash / Debt,0.05,0.16,0.33,0.5,0.63,0.95,-0.14,-0.13,0,0
Net Cash / Debt Growth,-91.58%,-83.12%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.03,0.10,-0.03,-0.03,-,-
Working Capital,-6.8,-5.94,-4.77,-4.05,-3.26,1.01,-0.51,-0.37,-,-0.1
Book Value Per Share,-0.28,-0.32,-0.27,-0.50,-0.67,-1.64,0.00,0.00,-,-
