Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.09,0.22,0.21,0.31,0.51,0.6,0.03,0.03
Cash & Cash Equivalents,0.09,0.22,0.21,0.31,0.51,0.6,0.03,0.03
Cash Growth,-82.63%,-64.15%,756.62%,1130.44%,-,-,-,-
Other Current Assets,0.28,0.39,0.43,0.44,0.39,0.39,-,-
Total Current Assets,0.37,0.61,0.64,0.75,0.9,1,-,-
Long-Term Investments,19.57,116.74,116.32,116.16,116.15,116.15,-,-
Other Long-Term Assets,0,0,0.08,0.18,0.28,0.38,-,-
Total Long-Term Assets,19.57,116.74,116.4,116.34,116.43,116.53,-,-
Total Assets,19.94,117.35,117.04,117.09,117.33,117.52,0.3,0.1
Accounts Payable,0.49,0.21,0.17,0.09,0.09,0.04,0.28,0.08
Current Debt,0.13,0,0,0,0,0,0,0
Other Current Liabilities,0.31,0.13,0,0,0,0,0,0
Total Current Liabilities,0.93,0.33,0.17,0.09,0.09,0.04,0.28,0.08
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,4.03,4.03,0,0
Total Liabilities,4.95,4.36,4.19,4.12,4.12,4.06,0.28,0.08
Total Debt,0.13,0,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-4.59,-3.7,-3.37,-3.18,-2.94,-2.69,-0,-0
Shareholders' Equity,-4.59,-3.7,-3.37,-3.18,-2.94,-2.69,0.02,0.02
Total Liabilities and Equity,0.37,0.66,0.82,0.94,1.18,1.37,0.3,0.1
Net Cash / Debt,-0.04,0.22,0.21,0.31,0.51,0.6,0.03,0.03
Net Cash / Debt Growth,-,-64.15%,756.62%,1130.44%,-,-,-,-
Net Cash Per Share,-0.01,0.02,0.01,0.02,0.08,0.07,0.01,-
Working Capital,-0.56,0.28,0.47,0.65,0.81,0.96,-,-
Book Value Per Share,-0.96,-0.26,-0.23,-0.22,-0.47,-0.31,0.01,-
