Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.02,0.28,0.4,1.53,0,-,-
Cash & Cash Equivalents,0.02,0.28,0.4,1.53,0,0,0
Other Current Assets,0.28,0.28,0.3,0.27,0,-,-
Total Current Assets,0.3,0.57,0.69,1.8,0,-,-
Long-Term Investments,117.72,116.78,116.25,116.15,0,-,-
Other Long-Term Assets,0.06,0.13,0.21,0.27,0.61,-,-
Total Long-Term Assets,117.79,116.91,116.46,116.42,0.61,-,-
Total Assets,118.09,117.48,117.15,118.22,0.61,-,-
Accounts Payable,0.62,0.65,0.56,1.5,0.58,-,-
Other Current Liabilities,0.48,0.25,0.1,0.08,0.03,-,-
Total Current Liabilities,1.09,0.89,0.66,1.59,0.61,-,-
Total Liabilities,1.09,0.89,0.66,1.59,0.61,-,-
Common Stock,0,0.31,0.59,0.57,0.03,-,-
Retained Earnings,-0.15,-0.16,-0.25,-0.08,-0.03,-,-
Shareholders' Equity,-0.15,0.16,0.34,0.49,-0.01,-,-
Total Liabilities and Equity,0.94,1.05,1,2.07,0.61,-,-
Net Cash / Debt,0.02,0.28,0.4,1.53,0,0,0
Net Cash Per Share,0.00,0.02,0.03,0.50,-,-,-
Working Capital,-0.79,-0.32,0.03,0.21,-0.61,-,-
Book Value Per Share,-0.01,0.01,0.02,0.16,-0.00,-,-
