Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.4,0.48,0,0,0,-
Cash & Cash Equivalents,0.4,0.48,0,0,0,0
Cash Growth,8657.32%,-,-,-,-,-
Receivables,0,0,0,0,0,-
Other Current Assets,0,0,-,-,0.16,-
Total Current Assets,0.4,0.48,-,-,0.17,-
Long-Term Investments,76.54,75.9,-,-,0,-
Total Long-Term Assets,76.54,75.9,-,-,0,-
Total Assets,76.94,76.38,0.18,0.17,0.17,-
Current Debt,0,0,0.16,0.15,0.15,-
Other Current Liabilities,0.16,0.03,0,0,0,-
Total Current Liabilities,0.16,0.03,0.16,0.15,0.15,-
Other Long-Term Liabilities,2.59,2.59,0,0,0,-
Total Long-Term Liabilities,2.59,2.59,0,0,0,-
Total Liabilities,2.74,2.62,0.16,0.15,0.15,-
Total Debt,0,0,0.16,0.15,0.15,-
Common Stock,0,0,0.03,0.03,0.03,-
Retained Earnings,-2.34,-2.14,-0,-0,-0,-
Shareholders' Equity,-2.34,-2.14,0.02,0.02,0.02,-
Total Liabilities and Equity,0.4,0.48,0.18,0.17,0.17,-
Net Cash / Debt,0.4,0.48,-0.16,-0.15,-0.14,0
Net Cash Per Share,0.08,0.08,-0.10,-0.09,-0.08,-
Working Capital,0.25,0.45,-,-,0.02,-
Book Value Per Share,-0.48,-0.35,0.01,0.01,0.01,-
