Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.5,0.62,0.84,0.95,1.45,0.03
Cash & Cash Equivalents,0.5,0.62,0.84,0.95,1.45,0.03
Cash Growth,-65.66%,2393.03%,-,-,-,-
Other Current Assets,0.39,0.43,0.38,0.49,0,0
Total Current Assets,0.89,1.06,1.22,1.43,1.45,0.03
Long-Term Investments,273.31,270.42,268.11,266.9,266.53,0
Other Long-Term Assets,0,0,0.15,0,0,0.24
Total Long-Term Assets,273.31,270.42,268.27,266.9,266.53,0.24
Total Assets,274.2,271.47,269.48,268.33,267.98,0.26
Accounts Payable,0.04,0.01,0,0,0.01,0
Current Debt,0,0,0.07,0.07,0,0.17
Other Current Liabilities,0,0,0,0,0.4,0.08
Total Current Liabilities,0.04,0.01,0.07,0.07,0.41,0.25
Other Long-Term Liabilities,11.93,11.89,13.45,13.6,24.7,0
Total Long-Term Liabilities,11.93,11.89,13.45,13.6,24.7,0
Total Liabilities,11.97,11.9,13.52,13.66,25.11,0.25
Total Debt,0,0,0.07,0.07,0,0.17
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-11.08,-10.85,-12.16,-12.23,-23.64,-0.01
Shareholders' Equity,-11.08,-10.85,-12.16,-12.23,-23.63,0.01
Total Liabilities and Equity,0.89,1.06,1.37,1.43,1.47,0.26
Net Cash / Debt,0.5,0.62,0.77,0.88,1.45,-0.15
Net Cash / Debt Growth,-65.66%,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.03,0.10,-
Working Capital,0.85,1.05,1.15,1.37,1.04,-0.23
Book Value Per Share,-0.34,-0.34,-0.38,-0.38,-1.63,0.00
