Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.31,0.76,0.99,1.19,1.46,0.03,0.03,-,-,0
Cash & Cash Equivalents,0.31,0.76,0.99,1.19,1.46,0.03,0.03,0,0,0
Cash Growth,-78.75%,2949.30%,3842.12%,-,-,-,-,-,-,-
Other Current Assets,0.18,0.16,0.2,0.19,0.21,0.49,-,-,-,0.03
Total Current Assets,0.49,0.92,1.18,1.38,1.67,0.51,-,-,-,0.03
Long-Term Investments,90.07,89.2,88.47,88.07,88.02,0,-,-,-,0
Other Long-Term Assets,0,0,0.04,0.08,0.12,0,-,-,-,0
Total Long-Term Assets,90.07,89.2,88.51,88.14,88.13,0,-,-,-,0
Total Assets,90.56,90.12,89.69,89.53,89.81,0.51,0.1,-,-,0.03
Accounts Payable,0,0,0,0,0.09,0.09,0.07,-,-,0.03
Other Current Liabilities,0.69,0.78,0.39,0.27,0.3,0.41,0,-,-,0
Total Current Liabilities,0.69,0.78,0.39,0.27,0.39,0.5,0.07,-,-,0.03
Other Long-Term Liabilities,3.02,3.02,3.02,3.02,3.02,0,0,-,-,0
Total Long-Term Liabilities,3.02,3.02,3.02,3.02,3.02,0,0,-,-,0
Total Liabilities,3.71,3.8,3.41,3.29,3.41,0.5,0.07,-,-,0.03
Common Stock,0,0,0,0,0,0.03,0.03,-,-,0
Retained Earnings,-2.67,-2.45,-1.96,-1.74,-1.58,-0.01,-0,-,-,-0
Shareholders' Equity,-2.67,-2.45,-1.96,-1.74,-1.58,0.02,0.02,-,-,-0
Total Liabilities and Equity,1.04,1.35,1.44,1.55,1.83,0.51,0.1,-,-,0.03
Net Cash / Debt,0.31,0.76,0.99,1.19,1.46,0.03,0.03,0,0,0
Net Cash / Debt Growth,-78.75%,2949.30%,3842.12%,-,-,-,-,-,-,-
Net Cash Per Share,0.03,0.07,0.09,0.11,0.15,0.01,0.01,-,-,-
Working Capital,-0.2,0.14,0.8,1.11,1.28,0.02,-,-,-,-0
Book Value Per Share,-0.25,-0.23,-0.18,-0.16,-0.16,0.01,0.01,-,-,-
