Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Cash & Equivalents,767,799,773,710,752,761,818,689,663,721,583,623,544,494,508,416,357,373,359,415,397,344,379,328,249,307,269,265,361,380,344,317,308,374,367,311,260,294,295,308,Upgrade
Cash & Cash Equivalents,767,799,773,710,752,761,818,689,663,721,583,623,544,494,508,416,357,373,359,415,397,344,379,328,249,307,269,265,361,380,344,317,308,374,367,311,260,294,295,308,Upgrade
Cash Growth,1.99%,4.99%,-5.50%,3.05%,13.42%,5.55%,40.31%,10.59%,21.88%,45.95%,14.76%,49.76%,52.38%,32.44%,41.50%,0.24%,-10.08%,8.43%,-5.28%,26.52%,59.44%,12.05%,40.89%,23.77%,-31.02%,-19.21%,-21.80%,-16.40%,17.21%,1.60%,-6.27%,1.93%,18.46%,27.21%,24.41%,0.97%,7.00%,-10.91%,34.09%,33.91%,Upgrade
Receivables,"21,172","20,564","20,837","21,376","21,228","20,427","20,642","20,780","20,783","20,421","20,889","20,866","20,988","20,743","21,086","21,307","21,039","20,661","20,840","20,874","20,669","20,228","20,369","20,195","19,879","19,618","20,030","20,158","20,067","19,721","19,898","20,202","20,066","19,920","20,085","20,468","20,253","20,166","20,107","20,603",Upgrade
Goodwill and Intangibles,"4,244","4,239","4,209","4,261","4,302","4,314","4,314","4,334","4,335","4,293","4,263","4,244","4,237","4,291","4,258","4,278","4,290","4,282","4,309","4,287","4,300","4,293","4,291","3,853","3,850","3,848","3,856","3,862","3,863","3,852","3,859","3,878","3,882","3,915","3,937","3,962","3,963","3,985","3,712","3,723",Upgrade
Total Assets,"118,352","115,717","114,317","116,587","118,592","120,466","120,706","119,759","117,032","116,764","116,384","113,337","109,436","110,122","110,241","108,572","107,246","104,233","104,390","103,523","103,676","103,483","104,311","102,669","101,246","100,245","102,787","102,446","101,680","100,184","102,110","101,664","102,691","103,078","104,522","104,811","104,134","103,812","102,685","101,900",Upgrade
Accounts Payable,"4,378","4,015","4,396","4,373","4,614","4,295","4,664","4,673","4,992","4,617","4,923","4,903","5,288","4,982","5,375","5,367","5,446","5,074","5,305","5,226","5,333","5,049","5,180","5,064","5,097","4,882","5,011","4,942","4,857","4,670","4,829","4,901","4,881","4,698","4,858","4,768","4,731","4,626","4,888","4,843",Upgrade
Total Liabilities,"95,300","94,157","94,411","93,713","93,061","91,579","92,232","90,603","88,763","87,563","88,535","86,394","84,232","84,179","84,634","83,251","82,906","81,339","81,930","80,900","80,697","79,752","80,573","78,811","77,634","77,024","78,348","77,732","77,514","76,586","78,077","77,543","77,844","78,242","79,201","79,279","78,747","79,016","77,874","77,010",Upgrade
Total Debt,"7,292","7,292","7,291","7,291","7,291","7,290","7,290","7,290","6,550","6,550","7,050","7,049","6,559","6,558","6,558","6,558","7,057","6,564","6,564","6,464","6,963","6,571","6,921","6,920","6,438","6,437","6,436","6,436","6,344","6,344","6,743","6,350","6,349","6,349","6,348","6,347","6,347","6,346","6,346","5,852",Upgrade
Debt Growth,0.01%,0.03%,0.01%,0.01%,11.31%,11.30%,3.40%,3.42%,-0.14%,-0.12%,7.50%,7.49%,-7.06%,-0.09%,-0.09%,1.45%,1.35%,-0.11%,-5.16%,-6.59%,8.15%,2.08%,7.54%,7.52%,1.48%,1.47%,-4.55%,1.35%,-0.08%,-0.08%,6.22%,0.05%,0.03%,0.05%,0.03%,8.46%,8.48%,-0.06%,-0.06%,-7.83%,Upgrade
Common Stock,"-15,835","-15,511","-15,103","-14,655","-14,226","-13,861","-13,130","-12,611","-12,307","-12,072","-11,968","-12,008","-12,072","-11,674","-11,335","-11,020","-10,773","-10,451","-10,336","-9,985","-9,680","-9,388","-9,087","-8,814","-8,396","-8,220","-7,664","-7,172","-6,702","-6,190","-5,262","-4,572","-3,828","-3,295","-2,373","-1,692",-907,-305,621,"1,364",Upgrade
Retained Earnings,"44,273","43,516","42,917","42,684","42,359","41,555","40,438","39,998","39,285","38,771","37,679","37,069","37,325","36,977","36,317","36,135","35,795","35,204","34,799","34,296","33,981","33,462","33,110","33,016","32,623","32,196","31,443","30,921","30,454","29,945","29,263","28,524","27,906","27,251","26,394","25,662","25,167","24,291","23,485","22,806",Upgrade
Comprehensive Income,"-5,386","-6,445","-7,908","-5,155","-2,602","1,193","1,166","1,769","1,291","2,502","2,138","1,882",-49,640,625,206,-682,"-1,859","-2,003","-1,688","-1,322",-343,-285,-344,-615,-755,660,965,414,-157,32,169,769,880,"1,300","1,562","1,127",810,705,720,Upgrade
Shareholders' Equity,"23,052","21,560","19,906","22,874","25,531","28,887","28,474","29,156","28,269","29,201","27,849","26,943","25,204","25,943","25,607","25,321","24,340","22,894","22,460","22,623","22,979","23,731","23,738","23,858","23,612","23,221","24,439","24,714","24,166","23,598","24,033","24,121","24,847","24,836","25,321","25,532","25,387","24,796","24,811","24,890",Upgrade
Total Liabilities and Equity,"118,352","115,717","114,317","116,587","118,592","120,466","120,706","119,759","117,032","116,764","116,384","113,337","109,436","110,122","110,241","108,572","107,246","104,233","104,390","103,523","103,676","103,483","104,311","102,669","101,246","100,245","102,787","102,446","101,680","100,184","102,110","101,664","102,691","103,078","104,522","104,811","104,134","103,812","102,685","101,900",Upgrade
Net Cash / Debt,"-6,525","-6,493","-6,518","-6,581","-6,539","-6,529","-6,472","-6,601","-5,887","-5,829","-6,467","-6,426","-6,015","-6,064","-6,050","-6,142","-6,700","-6,191","-6,205","-6,049","-6,566","-6,227","-6,542","-6,592","-6,189","-6,130","-6,167","-6,171","-5,983","-5,964","-6,399","-6,033","-6,041","-5,975","-5,981","-6,036","-6,087","-6,052","-6,051","-5,544",Upgrade
Net Cash Per Share,-27.84,-27.50,-27.40,-27.30,-26.83,-26.54,-25.88,-26.08,-23.17,-22.87,-25.43,-25.54,-23.51,-23.41,-23.11,-23.29,-25.30,-23.28,-23.12,-22.31,-23.97,-22.59,-23.65,-23.54,-21.92,-21.65,-21.28,-21.02,-20.08,-19.72,-20.58,-18.97,-18.62,-18.08,-17.65,-17.41,-17.17,-16.68,-16.23,-14.59,Upgrade
Book Value Per Share,99.49,92.49,84.56,95.95,105.98,118.53,114.95,116.30,112.13,115.19,109.94,107.09,99.07,101.06,98.79,96.90,92.58,86.78,84.40,84.19,84.79,87.02,86.60,85.97,84.42,82.23,85.45,85.19,82.14,78.79,78.13,76.62,77.45,76.07,75.56,74.44,72.35,69.09,67.26,66.21,Upgrade
