Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.2,0.21,0.39,0.52,0.85,1.03,1.13,1.35,0.15
Cash & Cash Equivalents,0.2,0.21,0.39,0.52,0.85,1.03,1.13,1.35,0.15
Cash Growth,-76.98%,-79.60%,-65.12%,-61.39%,469.60%,-,-,-,-
Other Current Assets,0.04,0.02,0.02,0.03,0.03,0.03,0.03,0,0
Total Current Assets,0.24,0.23,0.42,0.55,0.88,1.06,1.16,1.35,0.15
Long-Term Investments,404.61,402.43,400.56,400.05,400.04,400.02,400.01,400,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.05
Total Long-Term Assets,404.61,402.43,400.56,400.05,400.04,400.02,400.01,400,0.05
Total Assets,404.85,402.66,400.97,400.6,400.92,401.08,401.17,401.36,0.2
Accounts Payable,0,0,0,0,0.44,0,0.16,0.11,0
Current Debt,0,0,0,0,0,0,0,0,0.15
Other Current Liabilities,0.64,0.81,0.42,0.3,0.02,0.4,0.03,0.11,0.03
Total Current Liabilities,0.64,0.81,0.42,0.3,0.46,0.4,0.2,0.22,0.18
Other Long-Term Liabilities,14.33,14.99,17.12,21.55,28.12,28.61,37.8,29.96,0
Total Long-Term Liabilities,14.33,14.99,17.12,21.55,28.12,28.61,37.8,29.96,0
Total Liabilities,14.97,15.79,17.54,21.85,28.58,29.01,38,30.18,0.18
Total Debt,0,0,0,0,0,0,0,0,0.15
Common Stock,0,0,0,0,0,0,13.49,5.49,0.03
Retained Earnings,-14.34,-14.78,-16.77,-21.26,-27.66,-27.93,-8.49,-0.49,-0
Shareholders' Equity,-14.34,-14.78,-16.77,-21.25,-27.66,-27.93,5,5,0.02
Total Liabilities and Equity,0.63,1.02,0.77,0.6,0.92,1.08,43,35.18,0.2
Net Cash / Debt,0.2,0.21,0.39,0.52,0.85,1.03,1.13,1.35,0
Net Cash / Debt Growth,-76.98%,-79.60%,-65.12%,-61.39%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.01,0.01,0.02,0.03,0.02,0.06,-
Working Capital,-0.4,-0.58,0,0.25,0.42,0.66,0.97,1.13,-0.03
Book Value Per Share,-0.29,-0.30,-0.34,-0.42,-0.55,-0.76,0.10,0.24,0.00
