Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-24
Cash & Equivalents,0.4,0.47,0.6,1.05,2.5,0,-,0
Cash & Cash Equivalents,0.4,0.47,0.6,1.05,2.5,0,0,0
Cash Growth,-83.95%,-,-,-,-,-,-,-
Other Current Assets,0.22,0.35,0.48,0.52,0.53,-,-,-
Total Current Assets,0.62,0.82,1.08,1.57,3.03,-,-,-
Long-Term Investments,223.05,221.21,220.24,219.95,219.94,-,-,-
Other Long-Term Assets,0,0,0,0.1,0.22,-,-,-
Total Long-Term Assets,223.05,221.21,220.24,220.05,220.16,-,-,-
Total Assets,223.67,222.03,221.32,221.62,223.18,0.72,-,0.19
Accounts Payable,0.13,0.1,0.07,0.04,0.01,0,-,0
Current Debt,0,0,0,0.25,0.25,0.08,-,0
Other Current Liabilities,0.03,0.02,0.05,0.45,1.53,0.63,-,0.17
Total Current Liabilities,0.16,0.12,0.12,0.73,1.79,0.71,-,0.17
Other Long-Term Liabilities,9.18,10.69,10.47,11.64,19.85,0,-,0
Total Long-Term Liabilities,9.18,10.69,10.47,11.64,19.85,0,-,0
Total Liabilities,9.33,10.81,10.59,12.37,21.64,0.71,-,0.17
Total Debt,0,0,0,0.25,0.25,0.08,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-8.71,-9.99,-9.51,-10.69,-18.39,-0.02,-,-0
Shareholders' Equity,-8.71,-9.99,-9.51,-10.69,-18.39,0.01,-,0.02
Total Liabilities and Equity,0.62,0.82,1.08,1.68,3.25,0.72,-,0.19
Net Cash / Debt,0.4,0.47,0.6,0.81,2.25,-0.08,0,0
Net Cash / Debt Growth,-82.19%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.03,0.28,-0.02,-,-
Working Capital,0.47,0.7,0.96,0.84,1.24,-,-,-
Book Value Per Share,-0.38,-0.37,-0.35,-0.40,-2.27,0.00,-,-
